PatentID	AssigneeID
ARP210100638A	A_000001
AT2018167659T	A_000002
AT2018178376T	A_000003
AT2018188797T	A_000004
AT2018204010T	A_000005
AT2018765115T	A_000006
AT2018794684T	A_000007
AT2018804627T	A_000008
AT2019179294T	A_000003
AT2019201991T	A_000005
AT2020166915T	A_000005
AT2020175061T	A_000009
AT500762020A	A_000010
AT501882021A	A_000011
AT502622019A	A_000012
AT508542023A	A_000013
AT510192023A	A_000014
AU2018050332W	A_000015
AU2018051213W	A_000016
AU2018202891A	A_000017
AU2018231000A	A_000018
AU2018281883A	A_000019
AU2018284337A	A_000020
AU2018286597A	A_000021
AU2018318323A	A_000022
AU2019202794A	A_000023
AU2019210583A	A_000024
AU2019253799A	A_000025
AU2019253799A	A_000026
AU2019261693A	A_000021
AU2019275489A	A_000027
AU2019279873A	A_000028
AU2019295947A	A_000029
AU2019387201A	A_000030
AU2020100047A	A_000031
AU2020100047A	A_000032
AU2020100047A	A_000033
AU2020100047A	A_000034
AU2020100047A	A_000035
AU2020101265A	A_000036
AU2020205348A	A_000037
AU2020210213A	A_000038
AU2020251052A	A_000039
AU2020268690A	A_000028
AU2020276386A	A_000040
AU2020277243A	A_000041
AU2020345856A	A_000042
AU2021102289A	A_000043
AU2021103001A	A_000044
AU2021106636A	A_000045
AU2021203495A	A_000028
AU2021234273A	A_000046
AU2021270468A	A_000047
AU2021311084A	A_000048
AU2022050600W	A_000049
AU2022203829A	A_000050
AU2022275495A	A_000051
AU2022279503A	A_000052
AU2022406621A	A_000050
AU2023050964W	A_000053
AU2023214379A	A_000054
AU2023274131A	A_000055
AU2023278083A	A_000056
AU2023307623A	A_000050
AU2023387755A	A_000057
BG417118U	A_000058
BG417118U	A_000059
BG432419U	A_000060
BG438419U	A_000061
BG438419U	A_000062
BG438419U	A_000063
BG438419U	A_000064
BG438419U	A_000059
BR102018000434A	A_000065
BR102018003220A	A_000066
BR102018012662A	A_000067
BR102018013794A	A_000068
BR102018015133A	A_000069
BR102018017268	A_000070
BR102018072921A	A_000071
BR102019002887A	A_000072
BR102019007196	A_000073
BR102019010329	A_000074
BR102019012974	A_000075
BR102019026255A	A_000076
BR102019026560	A_000077
BR102020016252A	A_000078
BR102020016252A	A_000075
BR102020016568	A_000079
BR102020018309A	A_000080
BR102021021871A	A_000081
BR102022011217	A_000082
BR102022011217	A_000083
BR102022019149A	A_000084
BR102022023223A	A_000085
BR102022023419A	A_000086
BR102023007823	A_000087
BR102023007823	A_000088
BR102023021571	A_000089
BR102023021571	A_000090
BR102023021571	A_000091
BR102023021571	A_000092
BR102023027622	A_000093
BR112019022736A	A_000094
BR112019022736A	A_000095
BR112020005719	A_000096
BR112022001051A	A_000097
BR112022003503A	A_000098
BR112023016498	A_000099
BR112023025033	A_000100
BR202019007683U	A_000101
BR202022015961U	A_000102
BR2021050357W	A_000103
BY2019000013W	A_000104
BY2019000013W	A_000105
BY2019000013W	A_000106
BY2019000013W	A_000107
BY2021000015W	A_000108
BY2021000015W	A_000109
CA2020050502W	A_000110
CA2995295A	A_000003
CA2995510A	A_000003
CA3001567A	A_000003
CA3003015A	A_000037
CA3004224A	A_000066
CA3010965A	A_000111
CA3017372A	A_000003
CA3027268A	A_000112
CA3036396A	A_000003
CA3038339A	A_000113
CA3047782A	A_000114
CA3064933A	A_000115
CA3078083A	A_000009
CA3088752A	A_000037
CA3096223A	A_000066
CA3096609A	A_000005
CA3116233A	A_000112
CA3138020A	A_000116
CA3139297A	A_000005
CA3142461A	A_000117
CA3159551A	A_000118
CA3161015A	A_000037
CA3162884A	A_000119
CA3166757A	A_000120
CA3167695A	A_000009
CA3177227A	A_000121
CA3178486A	A_000122
CA3189587A	A_000123
CA3204503A	A_000124
CA3210761A	A_000009
CA3215000A	A_000125
CH3592019A	A_000126
CH4642020A	A_000127
CN2018080246W	A_000128
CN2018080246W	A_000129
CN2018081168W	A_000130
CN2018081254W	A_000128
CN2018095285W	A_000128
CN2018099837W	A_000131
CN2018099837W	A_000132
CN201810001469.5	A_000133
CN201810002103.X	A_000134
CN201810003649.7	A_000135
CN201810005687.6	A_000136
CN201810005687.6	A_000137
CN201810007954.3	A_000138
CN201810010602.3	A_000139
CN201810011790.1	A_000140
CN201810028809.3	A_000141
CN201810028809.3	A_000142
CN201810032718.7	A_000143
CN201810035363.7	A_000144
CN201810038079.5	A_000144
CN201810042537.2	A_000145
CN201810045101.9	A_000146
CN201810045789.0	A_000147
CN201810046260.0	A_000148
CN201810062724.7	A_000149
CN201810063246.1	A_000150
CN201810070345.2	A_000136
CN201810070345.2	A_000137
CN201810072196.3	A_000151
CN201810074671.0	A_000152
CN201810079444.7	A_000153
CN201810082462.0	A_000154
CN201810082601.X	A_000154
CN201810084050.0	A_000155
CN201810085500.8	A_000155
CN201810092516.1	A_000156
CN201810092516.1	A_000157
CN201810094868.0	A_000158
CN201810095250.6	A_000158
CN201810095266.7	A_000158
CN201810095390.3	A_000159
CN201810096653.2	A_000160
CN201810098994.3	A_000161
CN201810099684.3	A_000154
CN201810107815.8	A_000162
CN201810110751.7	A_000163
CN201810112476.2	A_000164
CN201810115681.4	A_000165
CN201810118637.9	A_000166
CN201810120186.2	A_000167
CN201810122429.6	A_000168
CN201810124341.8	A_000169
CN201810124384.6	A_000170
CN201810124589.4	A_000171
CN201810125409.4	A_000172
CN201810125839.6	A_000165
CN201810129380.7	A_000173
CN201810129753.0	A_000174
CN201810131759.1	A_000175
CN201810133720.3	A_000176
CN201810134088.4	A_000177
CN201810137569.0	A_000178
CN201810139138.8	A_000179
CN201810141308.6	A_000180
CN201810152131.X	A_000163
CN201810153093.X	A_000181
CN201810155273.1	A_000182
CN201810156859.X	A_000183
CN201810159632.0	A_000184
CN201810162774.2	A_000184
CN201810163142.8	A_000185
CN201810163609.9	A_000186
