AssigneeID	KeywordID
A_000001	K_000001
A_000001	K_000003
A_000001	K_000007
A_000001	K_000008
A_000001	K_000009
A_000001	K_000010
A_000002	K_000011
A_000002	K_000012
A_000002	K_000014
A_000002	K_000015
A_000002	K_000418
A_000002	K_079917
A_000002	K_079920
A_000002	K_079925
A_000003	K_000017
A_000003	K_000028
A_000003	K_000053
A_000003	K_000064
A_000003	K_000073
A_000003	K_000074
A_000003	K_000083
A_000003	K_000143
A_000003	K_000151
A_000003	K_000191
A_000003	K_000250
A_000003	K_000366
A_000003	K_000370
A_000003	K_000371
A_000003	K_000374
A_000003	K_000376
A_000003	K_000403
A_000003	K_000418
A_000003	K_000579
A_000003	K_000583
A_000003	K_000594
A_000003	K_000653
A_000003	K_000684
A_000003	K_000746
A_000003	K_000784
A_000003	K_001310
A_000003	K_001318
A_000003	K_001320
A_000003	K_001341
A_000003	K_001558
A_000003	K_001607
A_000003	K_001612
A_000003	K_001613
A_000003	K_001614
A_000003	K_001616
A_000003	K_001617
A_000003	K_001618
A_000003	K_001622
A_000003	K_001623
A_000003	K_001624
A_000003	K_001625
A_000003	K_001626
A_000003	K_001627
A_000003	K_001628
A_000003	K_001630
A_000003	K_001631
A_000003	K_001632
A_000003	K_001657
A_000003	K_001726
A_000003	K_001727
A_000003	K_001807
A_000003	K_001808
A_000003	K_001812
A_000003	K_002281
A_000003	K_002346
A_000003	K_002688
A_000003	K_003601
A_000003	K_003617
A_000003	K_003814
A_000003	K_006644
A_000003	K_007058
A_000003	K_007579
A_000003	K_008209
A_000003	K_008332
A_000003	K_009053
A_000003	K_010450
A_000003	K_011492
A_000003	K_013519
A_000003	K_015946
A_000003	K_016194
A_000003	K_016251
A_000003	K_016814
A_000003	K_016815
A_000003	K_017538
A_000003	K_019706
A_000003	K_019878
A_000003	K_025765
A_000003	K_027735
A_000003	K_028935
A_000003	K_029408
A_000003	K_029410
A_000003	K_030641
A_000003	K_031348
A_000003	K_031927
A_000003	K_040257
A_000003	K_040617
A_000003	K_041459
A_000003	K_041566
A_000003	K_045591
A_000003	K_046652
A_000003	K_053148
A_000003	K_054686
A_000003	K_058728
A_000003	K_064617
A_000003	K_067452
A_000003	K_070279
A_000003	K_079022
A_000003	K_079275
A_000003	K_079879
A_000003	K_079880
A_000003	K_079881
A_000003	K_080023
A_000003	K_080028
A_000003	K_080168
A_000003	K_080179
A_000003	K_080181
A_000003	K_080188
A_000003	K_080190
A_000003	K_080774
A_000003	K_080779
A_000003	K_081789
A_000003	K_083534
A_000003	K_084498
A_000003	K_086877
A_000003	K_087711
A_000003	K_094501
A_000003	K_094614
A_000003	K_096695
A_000003	K_100468
A_000003	K_100469
A_000003	K_100473
A_000003	K_101347
A_000003	K_101348
A_000003	K_101382
A_000003	K_101493
A_000003	K_101556
A_000003	K_101557
A_000003	K_101911
A_000003	K_103242
A_000003	K_103243
A_000003	K_103302
A_000003	K_103353
A_000003	K_108232
A_000004	K_000022
A_000004	K_000023
A_000004	K_000028
A_000004	K_000030
A_000004	K_000031
A_000004	K_000306
A_000004	K_007367
A_000004	K_007842
A_000004	K_079252
A_000004	K_079755
A_000004	K_079756
A_000004	K_079759
A_000005	K_000017
A_000005	K_000022
A_000005	K_000028
A_000005	K_000034
A_000005	K_000035
A_000005	K_000036
A_000005	K_000037
A_000005	K_000038
A_000005	K_000040
A_000005	K_000052
A_000005	K_000061
A_000005	K_000064
A_000005	K_000065
A_000005	K_000067
A_000005	K_000068
A_000005	K_000069
A_000005	K_000076
A_000005	K_000078
A_000005	K_000080
A_000005	K_000081
A_000005	K_000083
A_000005	K_000085
A_000005	K_000090
A_000005	K_000105
A_000005	K_000130
A_000005	K_000135
A_000005	K_000136
A_000005	K_000140
A_000005	K_000146
A_000005	K_000148
A_000005	K_000153
A_000005	K_000161
A_000005	K_000191
A_000005	K_000199
A_000005	K_000203
A_000005	K_000221
A_000005	K_000233
A_000005	K_000242
A_000005	K_000243
A_000005	K_000244
A_000005	K_000247
A_000005	K_000248
A_000005	K_000250
A_000005	K_000252
A_000005	K_000264
A_000005	K_000272
A_000005	K_000294
A_000005	K_000296
A_000005	K_000310
A_000005	K_000314
A_000005	K_000363
A_000005	K_000366
A_000005	K_000367
A_000005	K_000368
A_000005	K_000370
A_000005	K_000371
A_000005	K_000372
A_000005	K_000373
A_000005	K_000374
A_000005	K_000375
A_000005	K_000376
A_000005	K_000377
A_000005	K_000403
A_000005	K_000417
A_000005	K_000418
A_000005	K_000437
A_000005	K_000444
A_000005	K_000447
A_000005	K_000471
A_000005	K_000480
A_000005	K_000481
A_000005	K_000489
A_000005	K_000563
A_000005	K_000570
A_000005	K_000583
A_000005	K_000594
A_000005	K_000613
A_000005	K_000637
A_000005	K_000644
A_000005	K_000684
A_000005	K_000687
A_000005	K_000697
A_000005	K_000698
A_000005	K_000708
A_000005	K_000746
A_000005	K_000754
A_000005	K_000769
A_000005	K_000809
A_000005	K_000825
A_000005	K_000850
A_000005	K_000899
A_000005	K_000911
A_000005	K_000928
A_000005	K_000939
A_000005	K_000950
A_000005	K_000954
A_000005	K_000967
A_000005	K_001023
A_000005	K_001025
A_000005	K_001065
A_000005	K_001105
A_000005	K_001112
A_000005	K_001154
A_000005	K_001166
A_000005	K_001187
A_000005	K_001203
A_000005	K_001204
A_000005	K_001212
A_000005	K_001240
A_000005	K_001291
A_000005	K_001292
A_000005	K_001297
A_000005	K_001300
A_000005	K_001305
A_000005	K_001307
A_000005	K_001313
A_000005	K_001314
A_000005	K_001316
A_000005	K_001318
A_000005	K_001320
A_000005	K_001321
A_000005	K_001341
A_000005	K_001357
A_000005	K_001384
A_000005	K_001394
A_000005	K_001396
A_000005	K_001431
A_000005	K_001434
A_000005	K_001456
A_000005	K_001470
A_000005	K_001515
A_000005	K_001521
A_000005	K_001558
A_000005	K_001560
A_000005	K_001575
A_000005	K_001576
A_000005	K_001588
A_000005	K_001657
A_000005	K_001667
A_000005	K_001701
A_000005	K_001726
A_000005	K_001735
A_000005	K_001774
A_000005	K_001777
A_000005	K_001797
A_000005	K_001823
A_000005	K_001826
A_000005	K_001827
A_000005	K_001832
A_000005	K_001865
A_000005	K_001866
A_000005	K_001867
A_000005	K_001904
A_000005	K_001916
A_000005	K_001977
A_000005	K_001995
A_000005	K_002000
A_000005	K_002041
A_000005	K_002085
A_000005	K_002111
A_000005	K_002123
A_000005	K_002133
A_000005	K_002193
A_000005	K_002254
A_000005	K_002264
A_000005	K_002279
A_000005	K_002309
A_000005	K_002310
A_000005	K_002328
A_000005	K_002369
A_000005	K_002372
A_000005	K_002400
A_000005	K_002545
A_000005	K_002549
A_000005	K_002562
A_000005	K_002569
A_000005	K_002616
A_000005	K_002617
A_000005	K_002620
A_000005	K_002715
A_000005	K_002771
A_000005	K_002833
A_000005	K_002838
A_000005	K_002927
A_000005	K_002952
A_000005	K_003162
A_000005	K_003240
A_000005	K_003241
A_000005	K_003258
A_000005	K_003261
A_000005	K_003262
A_000005	K_003263
A_000005	K_003302
A_000005	K_003355
A_000005	K_003409
A_000005	K_003410
A_000005	K_003499
A_000005	K_003501
A_000005	K_003540
A_000005	K_003588
A_000005	K_003617
A_000005	K_003640
A_000005	K_003659
A_000005	K_003664
A_000005	K_003750
A_000005	K_003763
A_000005	K_003767
A_000005	K_003776
A_000005	K_003843
A_000005	K_003844
A_000005	K_003855
A_000005	K_003869
A_000005	K_003870
A_000005	K_003990
A_000005	K_004021
A_000005	K_004023
A_000005	K_004036
A_000005	K_004110
A_000005	K_004155
A_000005	K_004170
A_000005	K_004405
A_000005	K_004423
A_000005	K_004535
A_000005	K_004560
A_000005	K_004802
A_000005	K_004869
A_000005	K_004876
A_000005	K_005187
A_000005	K_005314
A_000005	K_005361
A_000005	K_005388
A_000005	K_005395
A_000005	K_005451
A_000005	K_005596
A_000005	K_005726
A_000005	K_005742
A_000005	K_005814
A_000005	K_005837
A_000005	K_005865
A_000005	K_006053
A_000005	K_006056
A_000005	K_006059
A_000005	K_006224
A_000005	K_006271
A_000005	K_006412
A_000005	K_006464
A_000005	K_006598
A_000005	K_006619
A_000005	K_006661
A_000005	K_006823
A_000005	K_006876
A_000005	K_006936
A_000005	K_006975
A_000005	K_006989
A_000005	K_007058
A_000005	K_007141
A_000005	K_007142
A_000005	K_007176
A_000005	K_007544
A_000005	K_007741
A_000005	K_007762
A_000005	K_007888
A_000005	K_007914
A_000005	K_008008
A_000005	K_008039
A_000005	K_008122
A_000005	K_008128
A_000005	K_008133
A_000005	K_008158
A_000005	K_008171
A_000005	K_008217
A_000005	K_008222
A_000005	K_008517
A_000005	K_008619
A_000005	K_008663
A_000005	K_008667
A_000005	K_008728
A_000005	K_008995
A_000005	K_009053
A_000005	K_009583
A_000005	K_009615
A_000005	K_009851
A_000005	K_009980
A_000005	K_010016
A_000005	K_010219
A_000005	K_010436
A_000005	K_010686
A_000005	K_010909
A_000005	K_011290
A_000005	K_011482
A_000005	K_011492
A_000005	K_011584
A_000005	K_011680
A_000005	K_011885
A_000005	K_011886
A_000005	K_013100
A_000005	K_013176
A_000005	K_013367
A_000005	K_013488
A_000005	K_013519
A_000005	K_013645
A_000005	K_013945
A_000005	K_013973
A_000005	K_013974
A_000005	K_014154
A_000005	K_014183
A_000005	K_014744
A_000005	K_014924
A_000005	K_015395
A_000005	K_015402
A_000005	K_015420
A_000005	K_015490
A_000005	K_015494
A_000005	K_015656
A_000005	K_015888
A_000005	K_016080
A_000005	K_016209
A_000005	K_016251
A_000005	K_016425
A_000005	K_016488
A_000005	K_016687
A_000005	K_017074
A_000005	K_017732
A_000005	K_017824
A_000005	K_017825
A_000005	K_017887
A_000005	K_018361
A_000005	K_018576
A_000005	K_018699
A_000005	K_019038
A_000005	K_019090
A_000005	K_019121
A_000005	K_019158
A_000005	K_019223
A_000005	K_019263
A_000005	K_019377
A_000005	K_019421
A_000005	K_019468
A_000005	K_019622
A_000005	K_019894
A_000005	K_020014
A_000005	K_020064
A_000005	K_020069
A_000005	K_020107
A_000005	K_020500
A_000005	K_020966
A_000005	K_021061
A_000005	K_021942
A_000005	K_023319
A_000005	K_023340
A_000005	K_023501
A_000005	K_024106
A_000005	K_024215
A_000005	K_025254
A_000005	K_025296
A_000005	K_025385
A_000005	K_025507
A_000005	K_025617
A_000005	K_025765
A_000005	K_025801
A_000005	K_026038
A_000005	K_026039
A_000005	K_026081
A_000005	K_026339
A_000005	K_027012
A_000005	K_027595
A_000005	K_027859
A_000005	K_028415
A_000005	K_028940
A_000005	K_029408
A_000005	K_029410
A_000005	K_029587
A_000005	K_029796
A_000005	K_029873
A_000005	K_029883
A_000005	K_030507
A_000005	K_030771
A_000005	K_030775
A_000005	K_030956
A_000005	K_031053
A_000005	K_031371
A_000005	K_031372
A_000005	K_031875
A_000005	K_032387
A_000005	K_032800
