PatentID	AssigneeID
CN202322472928.7	A_004951
CN202223239016.7	A_003515
CN202310863981.1	A_003884
KR20190179856A	A_006750
IN202241006974	A_005886
CN202011599521.5	A_000496
CN202311286748.8	A_000543
CN202322501884.6	A_004962
US202118285883A	A_008209
CN202321784860.X	A_004705
CN201920957280.3	A_001306
CN201921974920.8	A_001424
RU2021134723A	A_007498
IN202311087083A	A_005962
CN202022313929.3	A_002127
US201815953421A	A_007697
US202318307266A	A_008388
CN202020891302.3	A_000704
CN202322886917.3	A_001510
CN201921077843.6	A_001318
CN202223012940.1	A_003439
CN202323191135.4	A_005189
CN202022669951.1	A_002173
US202016888472A	A_008012
CN202020073930.0	A_001841
KR20230089398A	A_007257
RU2020128999U	A_007473
CN201910326678.1	A_000692
CN202223261191.6	A_003075
KR20190096658A	A_006666
CN201920148315.9	A_000896
JP2022179155A	A_006331
CN201811291289.1	A_000411
CN202321058821.1	A_004487
CN202121655371.5	A_000187
CN202110008112.1	A_000469
CN202321130477.2	A_000589
CN202322397374.9	A_002932
KR20210174610A	A_007009
CN202311767011.8	A_002787
RU2023111361U	A_007538
US201816007666A	A_000005
US202217652357A	A_008227
CN202310517040.2	A_003791
CN202223490840.X	A_003620
CN202221845641.3	A_000543
CN201810430134.5	A_000264
CN202323336364.0	A_000313
CN202110000097.6	A_002249
CN202120141748.9	A_002519
CN2018114497W	A_000524
US201916251562A	A_007674
CN202022691619.5	A_002108
US201916352507A	A_005632
CN201820379510.8	A_000644
CN202322162072.3	A_004811
CN201811053364.0	A_000437
CN202020170817.4	A_001859
CN202221014891.2	A_000476
US202117394603A	A_008141
CN202321356295.7	A_003244
CN201810692760.1	A_000345
KR20230107827A	A_006571
CN201820334646.7	A_000633
CN201810346266.X	A_000248
IL30976823A	A_005790
US201916420006A	A_007733
CN202310400884.9	A_003754
US202118001880A	A_008191
CN202321104981.5	A_000695
CN201910740119.5	A_000177
CN202211123473.1	A_000162
KR20210156928A	A_006480
CN202211556238.3	A_003132
US202117164827A	A_008097
CN202020070093.6	A_001505
KR20257024802A	A_007370
KR20230179833A	A_007349
CN202310324463.2	A_003734
CN202322156469.1	A_004831
CN201922494539.8	A_001508
CN202210724504.2	A_002948
CN202322821050.3	A_001361
CN201820817795.9	A_000709
IN202311062438	A_005943
CN202311736815.1	A_000387
CN202322658432.9	A_003816
CN202321235488.7	A_004534
CN202321738218.8	A_004685
CN202310986231.3	A_003917
CN201922221876.X	A_001457
JP2021162037A	A_006262
KR20180096007A	A_006530
KR20190077337A	A_006653
CN202021033460.1	A_001977
CN201811274443.4	A_000161
CN202311266994.7	A_003991
JP2023119085A	A_006409
RU2021101810A	A_007485
CN201821591784.X	A_000820
JP2021064683A	A_000037
CN201910433987.9	A_001013
CN202123073639.7	A_002795
CN202110305564.6	A_001190
JP2022022131A	A_006215
CN202321857679.7	A_001937
CN202321697124.0	A_003603
CN201810591460.4	A_000321
CN202320817845.4	A_004413
CN202223242813.0	A_003517
CN201921773235.9	A_001396
CN201920322323.0	A_001229
CN201922270018.4	A_001469
CN202111474375.8	A_000222
US202117229831A	A_000005
KR20230163872A	A_006739
JP2019155214A	A_006160
JP2018564699A	A_006121
US201816159348A	A_007744
RU2020122707A	A_007470
CN202120652132.8	A_000139
JP2021210684A	A_006276
JP2019113179A	A_006089
KR20200070061A	A_006480
EP20902759A	A_005557
US201815918416A	A_007686
CN202310010734.7	A_000371
JP2019541470A	A_006069
CN202310669478.2	A_003833
US202318314601A	A_000037
CN202210552618.3	A_002382
JP2019050370W	A_006139
KR20190135485A	A_006716
CN201921624325.1	A_000554
RU2018125388A	A_007442
RU2023102286A	A_007519
US202217821980A	A_005503
CN202321450792.3	A_004434
CN202210500212.0	A_001015
CN202110491809.9	A_002339
CN201811274678.3	A_000161
CN202011463335.9	A_000345
CN202222936853.9	A_000182
CN202120019337.2	A_002512
CN202021071358.0	A_001978
CN202310787690.9	A_000484
CN202211474203.5	A_003107
JP2022048190W	A_006317
US201916243749A	A_007733
