PatentID	KeywordID
ARP210100638A	K_000001
ARP210100638A	K_000003
ARP210100638A	K_000007
ARP210100638A	K_000008
ARP210100638A	K_000009
ARP210100638A	K_000010
AT2018167659T	K_000011
AT2018167659T	K_000012
AT2018167659T	K_000014
AT2018167659T	K_000015
AT2018178376T	K_000017
AT2018188797T	K_000022
AT2018188797T	K_000023
AT2018188797T	K_000028
AT2018188797T	K_000030
AT2018188797T	K_000031
AT2018204010T	K_000034
AT2018204010T	K_000035
AT2018204010T	K_000036
AT2018204010T	K_000037
AT2018204010T	K_000038
AT2018204010T	K_000040
AT2018765115T	K_000046
AT2018765115T	K_000047
AT2018765115T	K_000049
AT2018765115T	K_000050
AT2018765115T	K_000051
AT2018765115T	K_000052
AT2018765115T	K_000053
AT2018794684T	K_000055
AT2018794684T	K_000056
AT2018794684T	K_000058
AT2018804627T	K_000061
AT2018804627T	K_000062
AT2018804627T	K_000063
AT2018804627T	K_000064
AT2018804627T	K_000065
AT2018804627T	K_000066
AT2018804627T	K_000067
AT2018804627T	K_000068
AT2018804627T	K_000069
AT2019179294T	K_000073
AT2019179294T	K_000074
AT2019201991T	K_000076
AT2019201991T	K_000078
AT2019201991T	K_000022
AT2019201991T	K_000069
AT2020166915T	K_000080
AT2020166915T	K_000081
AT2020166915T	K_000083
AT2020166915T	K_000085
AT2020175061T	K_000090
AT2020175061T	K_000091
AT2020175061T	K_000092
AT2020175061T	K_000094
AT2020175061T	K_000095
AT2020175061T	K_000096
AT2020175061T	K_000097
AT2020175061T	K_000098
AT500762020A	K_000061
AT500762020A	K_000099
AT500762020A	K_000101
AT500762020A	K_000102
AT500762020A	K_000103
AT500762020A	K_000105
AT500762020A	K_000106
AT500762020A	K_000108
AT500762020A	K_000109
AT500762020A	K_000114
AT501882021A	K_000116
AT501882021A	K_000117
AT501882021A	K_000118
AT501882021A	K_000120
AT501882021A	K_000121
AT501882021A	K_000122
AT501882021A	K_000124
AT501882021A	K_000125
AT501882021A	K_000126
AT501882021A	K_000127
AT501882021A	K_000128
AT501882021A	K_000130
AT501882021A	K_000131
AT501882021A	K_000133
AT501882021A	K_000135
AT501882021A	K_000136
AT501882021A	K_000137
AT501882021A	K_000138
AT501882021A	K_000139
AT501882021A	K_000140
AT501882021A	K_000141
AT501882021A	K_000064
AT501882021A	K_000142
AT501882021A	K_000143
AT501882021A	K_000144
AT501882021A	K_000145
AT501882021A	K_000146
AT501882021A	K_000147
AT501882021A	K_000148
AT501882021A	K_000149
AT501882021A	K_000150
AT501882021A	K_000151
AT501882021A	K_000152
AT501882021A	K_000153
AT501882021A	K_000154
AT501882021A	K_000155
AT501882021A	K_000156
AT501882021A	K_000157
AT501882021A	K_000158
AT501882021A	K_000159
AT501882021A	K_000160
AT501882021A	K_000161
AT501882021A	K_000162
AT502622019A	K_000167
AT502622019A	K_000172
AT502622019A	K_000176
AT508542023A	K_000061
AT508542023A	K_000184
AT508542023A	K_000064
AT508542023A	K_000185
AT508542023A	K_000186
AT508542023A	K_000187
AT508542023A	K_000188
AT508542023A	K_000028
AT508542023A	K_000190
AT510192023A	K_000064
AT510192023A	K_000191
AT510192023A	K_000143
AT510192023A	K_000192
AT510192023A	K_000193
AT510192023A	K_000194
AT510192023A	K_000195
AT510192023A	K_000196
AT510192023A	K_000197
AT510192023A	K_000198
AT510192023A	K_000199
AT510192023A	K_000201
AU2018050332W	K_000203
AU2018050332W	K_000209
AU2018050332W	K_000212
AU2018050332W	K_000214
AU2018050332W	K_000217
AU2018050332W	K_000218
AU2018050332W	K_000219
AU2018050332W	K_000221
AU2018050332W	K_000224
AU2018050332W	K_000227
AU2018051213W	K_000233
AU2018051213W	K_000236
AU2018051213W	K_000240
AU2018051213W	K_000241
AU2018051213W	K_000140
AU2018051213W	K_000242
AU2018051213W	K_000243
AU2018051213W	K_000244
AU2018051213W	K_000245
AU2018051213W	K_000246
AU2018051213W	K_000247
AU2018051213W	K_000248
AU2018051213W	K_000250
AU2018051213W	K_000252
AU2018051213W	K_000253
AU2018051213W	K_000254
AU2018051213W	K_000257
AU2018051213W	K_000259
AU2018051213W	K_000261
AU2018051213W	K_000262
AU2018051213W	K_000263
AU2018051213W	K_000264
AU2018051213W	K_000267
AU2018051213W	K_000268
AU2018051213W	K_000269
AU2018051213W	K_000270
AU2018051213W	K_000272
AU2018051213W	K_000031
AU2018051213W	K_000276
AU2018051213W	K_000281
AU2018051213W	K_000283
AU2018051213W	K_000284
AU2018051213W	K_000285
AU2018051213W	K_000286
AU2018051213W	K_000287
AU2018051213W	K_000288
AU2018051213W	K_000289
AU2018051213W	K_000290
AU2018051213W	K_000291
AU2018202891A	K_000292
AU2018202891A	K_000294
AU2018202891A	K_000295
AU2018202891A	K_000296
AU2018202891A	K_000301
AU2018202891A	K_000302
AU2018202891A	K_000305
AU2018231000A	K_000306
AU2018231000A	K_000310
AU2018231000A	K_000312
AU2018231000A	K_000313
AU2018231000A	K_000314
AU2018231000A	K_000315
AU2018231000A	K_000319
AU2018231000A	K_000320
AU2018231000A	K_000322
AU2018231000A	K_000323
AU2018281883A	K_000327
AU2018281883A	K_000328
AU2018281883A	K_000329
AU2018281883A	K_000330
AU2018281883A	K_000331
AU2018281883A	K_000334
AU2018281883A	K_000335
AU2018281883A	K_000336
AU2018281883A	K_000346
AU2018281883A	K_000347
AU2018281883A	K_000348
AU2018281883A	K_000349
AU2018281883A	K_000354
AU2018281883A	K_000356
AU2018284337A	K_000362
AU2018284337A	K_000363
AU2018284337A	K_000364
AU2018284337A	K_000022
AU2018284337A	K_000366
AU2018284337A	K_000367
AU2018284337A	K_000368
AU2018284337A	K_000369
AU2018284337A	K_000370
AU2018284337A	K_000371
AU2018284337A	K_000372
AU2018284337A	K_000373
AU2018284337A	K_000374
AU2018284337A	K_000250
AU2018284337A	K_000375
AU2018284337A	K_000376
AU2018284337A	K_000069
AU2018284337A	K_000068
AU2018284337A	K_000377
AU2018286597A	K_000379
AU2018286597A	K_000383
AU2018286597A	K_000384
AU2018286597A	K_000387
AU2018286597A	K_000388
AU2018286597A	K_000391
AU2018286597A	K_000392
AU2018318323A	K_000399
AU2018318323A	K_000400
AU2018318323A	K_000402
AU2018318323A	K_000403
AU2018318323A	K_000411
AU2018318323A	K_000412
AU2018318323A	K_000242
AU2019202794A	K_000416
AU2019202794A	K_000417
AU2019202794A	K_000418
AU2019202794A	K_000419
AU2019202794A	K_000421
AU2019202794A	K_000143
AU2019202794A	K_000425
AU2019202794A	K_000428
AU2019202794A	K_000430
AU2019210583A	K_000250
AU2019210583A	K_000436
AU2019210583A	K_000064
AU2019210583A	K_000437
AU2019210583A	K_000441
AU2019210583A	K_000442
AU2019210583A	K_000443
AU2019210583A	K_000444
AU2019210583A	K_000445
AU2019210583A	K_000272
AU2019210583A	K_000446
AU2019210583A	K_000447
AU2019210583A	K_000403
AU2019253799A	K_000449
AU2019253799A	K_000450
AU2019253799A	K_000451
AU2019253799A	K_000452
AU2019253799A	K_000460
AU2019253799A	K_000462
AU2019253799A	K_000467
AU2019261693A	K_000470
AU2019261693A	K_000471
AU2019261693A	K_000474
AU2019261693A	K_000383
AU2019261693A	K_000476
AU2019261693A	K_000477
AU2019261693A	K_000478
AU2019261693A	K_000480
AU2019261693A	K_000481
AU2019261693A	K_000052
AU2019275489A	K_000484
AU2019275489A	K_000485
AU2019275489A	K_000486
AU2019275489A	K_000161
AU2019275489A	K_000487
AU2019275489A	K_000144
AU2019275489A	K_000142
AU2019275489A	K_000488
AU2019275489A	K_000489
AU2019275489A	K_000490
AU2019275489A	K_000491
