PatentID	AssigneeID
AT2018172289T	A_005882
AT2022060396W	A_020563
AT602262021A	A_020564
AU2018050346W	A_020565
AU2018200976A	A_008252
AU2018204315A	A_020566
AU2018204317A	A_020566
AU2018204321A	A_020566
AU2018286646A	A_020567
AU2019101822A	A_020568
AU2019202129A	A_020569
AU2019202129A	A_020570
AU2019237372A	A_020571
AU2019250103A	A_020572
AU2019363031A	A_005857
AU2020100917A	A_020573
AU2020102305A	A_020574
AU2020102305A	A_020575
AU2020102305A	A_020576
AU2020102305A	A_020577
AU2020102305A	A_020578
AU2020102305A	A_020579
AU2020102305A	A_020580
AU2020102305A	A_020581
AU2020102305A	A_020582
AU2020102305A	A_020583
AU2020103294A	A_020584
AU2020103294A	A_020585
AU2020103294A	A_020586
AU2020103294A	A_020587
AU2020103294A	A_020588
AU2020103294A	A_020589
AU2020103294A	A_020590
AU2020103294A	A_020591
AU2020103294A	A_020592
AU2020203575A	A_020572
AU2020204166A	A_005500
AU2020217302A	A_000037
AU2020262292A	A_005500
AU2020275846A	A_020593
AU2021100672A	A_020594
AU2021100672A	A_020595
AU2021100672A	A_020596
AU2021100672A	A_020597
AU2021100672A	A_020598
AU2021100672A	A_020599
AU2021100672A	A_020600
AU2021100864A	A_020601
AU2021107088A	A_020602
AU2021107088A	A_020603
AU2021107088A	A_020604
AU2021107088A	A_020605
AU2021107088A	A_020606
AU2021107439A	A_020607
AU2021107439A	A_020608
AU2021107439A	A_020609
AU2021107439A	A_020610
AU2021107439A	A_020611
AU2021107439A	A_020612
AU2021221444A	A_020613
AU2021221444A	A_020614
AU2021258100A	A_020615
AU2021312378A	A_009255
AU2021351490A	A_020616
AU2021353084A	A_020617
AU2021360758A	A_020618
AU2021360758A	A_020619
AU2022051585W	A_020620
AU2022202429A	A_007986
AU2022202867A	A_020621
AU2022206663A	A_020622
AU2022247142A	A_020623
AU2022247649A	A_007778
AU2023203063A	A_020624
AU2023203325A	A_020625
AU2023222971A	A_007778
AU2023237061A	A_020626
AU2023272579A	A_020627
AU2023272796A	A_000050
AU2023307411A	A_020628
AU2023390313A	A_020629
AU2023437794A	A_020630
AU2023443525A	A_020631
AU2023459118A	A_000050
BE202200002A	A_020632
BR102019008496A	A_020633
BR102020016217	A_020634
BR102021011921A	A_020635
BR102021011921A	A_020636
BR102021011921A	A_020637
BR102022005912A	A_020638
BR102022021824A	A_020639
BR102022021824A	A_015125
BR112020013972A	A_020640
BR112020013972A	A_007705
BR112021015314A	A_020641
CA2020050342W	A_020642
CA2021050659W	A_020643
CA3020431A	A_020644
CA3034834A	A_020645
CA3051096A	A_005809
CA3065731A	A_020646
CA3065781A	A_020647
CA3074217A	A_020615
CA3104119A	A_020648
CA3108705A	A_013106
CA3164554A	A_020649
CA3178770A	A_000047
CA3211662A	A_020650
CA3216255A	A_000097
CH15082022A	A_020651
CN2018075538W	A_020652
CN2018075538W	A_013557
CN2018085094W	A_000128
CN2018085094W	A_000129
CN2018088988W	A_000128
CN2018095499W	A_020653
CN2018095499W	A_020654
CN201810028333.3	A_020655
CN201810033463.6	A_000260
CN201810037008.3	A_000294
CN201810038127.0	A_000196
CN201810048865.3	A_020656
CN201810060429.8	A_020657
CN201810066755.X	A_000134
CN201810076376.9	A_013698
CN201810078674.1	A_020658
CN201810079478.6	A_000732
CN201810091434.5	A_001138
CN201810094988.0	A_011615
CN201810096958.3	A_000161
CN201810150231.9	A_020659
CN201810158853.6	A_020660
CN201810160942.4	A_020661
CN201810163870.9	A_000294
CN201810170774.7	A_008783
