AssigneeID	KeywordID
A_000002	K_080753
A_000002	K_153967
A_000002	K_402058
A_000002	K_402060
A_000005	K_000064
A_000005	K_000090
A_000005	K_000485
A_000005	K_000583
A_000005	K_002013
A_000005	K_004683
A_000005	K_006790
A_000005	K_039349
A_000005	K_046035
A_000005	K_047296
A_000005	K_072609
A_000005	K_079439
A_000005	K_080819
A_000005	K_082914
A_000005	K_086551
A_000005	K_105262
A_000005	K_107512
A_000005	K_108211
A_000005	K_109189
A_000005	K_109281
A_000005	K_139115
A_000005	K_140477
A_000005	K_307183
A_000005	K_322594
A_000005	K_363424
A_000005	K_392309
A_000005	K_395809
A_000005	K_395812
A_000005	K_395821
A_000005	K_395826
A_000008	K_000064
A_000008	K_012308
A_000008	K_023041
A_000008	K_046481
A_000008	K_079911
A_000008	K_081984
A_000008	K_083883
A_000008	K_095815
A_000008	K_099732
A_000008	K_102074
A_000008	K_102511
A_000008	K_107392
A_000008	K_112107
A_000008	K_113735
A_000008	K_115714
A_000008	K_137069
A_000008	K_156897
A_000008	K_165644
A_000008	K_199668
A_000008	K_244224
A_000008	K_308877
A_000008	K_355149
A_000008	K_370083
A_000008	K_370087
A_000008	K_370088
A_000008	K_370090
A_000008	K_370094
A_000008	K_370099
A_000008	K_370100
A_000008	K_370101
A_000008	K_370103
A_000008	K_370108
A_000008	K_385811
A_000008	K_392492
A_000008	K_392493
A_000008	K_392494
A_000008	K_392495
A_000020	K_000083
A_000020	K_000151
A_000020	K_000583
A_000020	K_000937
A_000020	K_000977
A_000020	K_001111
A_000020	K_001540
A_000020	K_001674
A_000020	K_001882
A_000020	K_002309
A_000020	K_002400
A_000020	K_003050
A_000020	K_004610
A_000020	K_005593
A_000020	K_006414
A_000020	K_007651
A_000020	K_011104
A_000020	K_027532
A_000020	K_027877
A_000020	K_040738
A_000020	K_059576
A_000020	K_060393
A_000020	K_079829
A_000020	K_085003
A_000020	K_091659
A_000020	K_094119
A_000020	K_100693
A_000020	K_102880
A_000020	K_104162
A_000020	K_111078
A_000020	K_116288
A_000020	K_141628
A_000020	K_142190
A_000020	K_158127
A_000020	K_198490
A_000020	K_261971
A_000020	K_266656
A_000020	K_281856
A_000020	K_307890
A_000020	K_323262
A_000020	K_364730
A_000020	K_367403
A_000020	K_369169
A_000020	K_372363
A_000020	K_372469
A_000022	K_001180
A_000022	K_011486
A_000022	K_018694
A_000022	K_022699
A_000022	K_083883
A_000022	K_098490
A_000022	K_157527
A_000022	K_193031
A_000022	K_317334
A_000022	K_326682
A_000022	K_332632
A_000022	K_378719
A_000022	K_392036
A_000022	K_392037
A_000022	K_392439
A_000029	K_009918
A_000029	K_031877
A_000029	K_084183
A_000029	K_132911
A_000029	K_139928
A_000029	K_271322
A_000029	K_309203
A_000029	K_404479
A_000029	K_411439
