PatentID	AssigneeID
KR20210163792A	A_023679
CN202210682992.5	A_000636
CN202311077187.0	A_004050
CN202310775421.0	A_000685
RU2020123778A	A_024130
KR20210059196A	A_023598
CN202311100117.2	A_022073
US202218085736A	A_022653
CN202111194535.3	A_021329
CN202310321795.5	A_021901
CN201880056552.0	A_020659
KR20190028997A	A_009633
CN202111519852.8	A_021424
US201917051066A	A_024407
CN202011503093.1	A_018546
CN202111616248.7	A_021447
CN202110688332.3	A_000985
KR2022005517W	A_023748
CN202310340017.0	A_021904
CN202311291151.2	A_014578
US202117464853A	A_009973
US202318222940A	A_024968
US202017088455A	A_024565
CN202310666160.9	A_000679
US202318339444A	A_006835
KR2020009839W	A_006695
KR20230188604A	A_013434
CN202110589371.8	A_008682
CN202380014072.9	A_020715
KR20180012316A	A_023204
KR2020007406W	A_023457
CN201980033604.7	A_014498
ES202290008A	A_022526
CN202310014966.X	A_020752
CN202211385311.5	A_020715
EP18164451A	A_013124
US202017102480A	A_024577
CN202310624809.0	A_014821
CN202011271292.4	A_020896
JP2023204283A	A_023167
CN202511052152.0	A_020715
CN202211012982.7	A_011723
CN201911148779.0	A_000294
KR20220151754A	A_023492
KR20200128794A	A_009606
CN202211552603.3	A_021774
CN202311644251.9	A_008801
US2020062753W	A_024438
JP2019205247A	A_005507
CN202310165072.0	A_000255
US201916277175A	A_006402
JP2023092039A	A_022992
US2023085514W	A_022403
CN202110612085.9	A_001099
CN202311191075.8	A_001676
KR20180109873A	A_019442
CN202111485487.3	A_021418
EP21172871A	A_022419
CN202311199985.0	A_022100
CN202211586543.7	A_000218
US202016748921A	A_006226
US202318467643A	A_025013
CN201811280179.5	A_020729
CN202311191126.7	A_021403
CN202310522817.4	A_015358
CN202011432481.5	A_003238
JP2018147094A	A_006059
US202117492220A	A_009973
CN202211084194.9	A_011516
CN202311327237.6	A_003315
CN202011412834.5	A_012878
CN202311848563.1	A_002472
CN202110219889.2	A_020767
KR20190045860A	A_023347
US201916283019A	A_000121
CN202011474139.1	A_011493
TW110128516A	A_024180
US201815900038A	A_007700
CN202210786422.0	A_015660
CN202111110784.X	A_021341
CN202310625316.9	A_001613
CN202311377223.5	A_003033
KR2018003668W	A_006703
CN202011203968.6	A_003168
US202016935988A	A_006226
KR20190122560A	A_006695
CN201811570061.6	A_020719
US202318124815A	A_022344
JP2023020753W	A_006361
GB202212811A	A_013124
CN202111354063.3	A_000384
US2020062753W	A_024437
CN202210366523.2	A_000182
US202217937635A	A_008252
KR20220133195A	A_022408
US201916589100A	A_024375
CN201811201792.3	A_020720
CN202311412448.X	A_022160
CN201910645052.7	A_020723
CN202311008917.1	A_004047
KR20230197709A	A_023693
DE102022110106A	A_022340
US202117536433A	A_024722
CN202010661349.5	A_000294
KR20230188787A	A_024077
CN202311319249.4	A_002141
CN202310431635.6	A_021233
CN202110939911.0	A_002992
CN202210755488.3	A_000273
EP25184663A	A_022520
KR20220138533A	A_023825
KR20220114824A	A_023801
US201916549815A	A_006695
US202117528277A	A_022509
CN202380026144.1	A_022306
CN202110749529.3	A_021282
