PatentID	KeywordID
AT2018172289T	K_001167
AT2018172289T	K_020152
AT2018172289T	K_079097
AT2018172289T	K_007194
AT2018172289T	K_000001
AT2022060396W	K_018333
AT2022060396W	K_092750
AT602262021A	K_001980
AU2018050346W	K_081722
AU2018050346W	K_003640
AU2018050346W	K_012308
AU2018050346W	K_080518
AU2018050346W	K_304998
AU2018050346W	K_075555
AU2018200976A	K_000292
AU2018200976A	K_000022
AU2018200976A	K_001166
AU2018200976A	K_000367
AU2018200976A	K_000368
AU2018200976A	K_027859
AU2018200976A	K_000366
AU2018204315A	K_006524
AU2018204315A	K_000146
AU2018204315A	K_157635
AU2018204315A	K_000199
AU2018204315A	K_000187
AU2018204315A	K_000143
AU2018204315A	K_000188
AU2018204315A	K_004841
AU2018204315A	K_092586
AU2018204315A	K_005352
AU2018204315A	K_010188
AU2018204315A	K_293184
AU2018204317A	K_000418
AU2018204317A	K_000146
AU2018204317A	K_157635
AU2018204317A	K_005782
AU2018204317A	K_000064
AU2018204317A	K_000899
AU2018204317A	K_305014
AU2018204317A	K_085634
AU2018204317A	K_000144
AU2018204317A	K_004841
AU2018204317A	K_039177
AU2018204317A	K_081907
AU2018204317A	K_305021
AU2018204321A	K_106254
AU2018204321A	K_289645
AU2018204321A	K_018814
AU2018204321A	K_201779
AU2018204321A	K_000199
AU2018204321A	K_000187
AU2018204321A	K_000144
AU2018204321A	K_093860
AU2018286646A	K_000061
AU2018286646A	K_000148
AU2018286646A	K_000615
AU2018286646A	K_031298
AU2018286646A	K_080969
AU2018286646A	K_081147
AU2018286646A	K_103097
AU2018286646A	K_138452
AU2018286646A	K_085323
AU2019101822A	K_000806
AU2019101822A	K_008733
AU2019101822A	K_305029
AU2019101822A	K_305030
AU2019101822A	K_305034
AU2019101822A	K_305038
AU2019101822A	K_305043
AU2019101822A	K_305045
AU2019202129A	K_000061
AU2019202129A	K_305059
AU2019202129A	K_305064
AU2019202129A	K_305065
AU2019202129A	K_305070
AU2019202129A	K_305076
AU2019202129A	K_305080
AU2019202129A	K_305083
AU2019202129A	K_305084
AU2019202129A	K_305085
AU2019237372A	K_305092
AU2019237372A	K_200282
AU2019237372A	K_110854
AU2019237372A	K_085639
AU2019237372A	K_305093
AU2019237372A	K_305094
AU2019237372A	K_305095
AU2019237372A	K_000281
AU2019237372A	K_086594
AU2019237372A	K_081715
AU2019237372A	K_003412
AU2019237372A	K_001812
AU2019237372A	K_001092
AU2019237372A	K_305097
AU2019250103A	K_029227
AU2019250103A	K_000418
AU2019250103A	K_008960
AU2019250103A	K_305099
AU2019250103A	K_305100
AU2019250103A	K_155207
AU2019250103A	K_042144
AU2019250103A	K_305102
AU2019250103A	K_305103
AU2019363031A	K_016183
AU2019363031A	K_028030
AU2019363031A	K_089587
AU2019363031A	K_305108
AU2019363031A	K_085836
AU2019363031A	K_224567
AU2019363031A	K_305111
AU2019363031A	K_305112
AU2019363031A	K_081638
AU2019363031A	K_001672
AU2019363031A	K_000418
AU2019363031A	K_043261
AU2019363031A	K_019998
AU2020100917A	K_000001
AU2020100917A	K_081698
AU2020100917A	K_305123
AU2020102305A	K_082380
AU2020102305A	K_086591
AU2020102305A	K_305127
AU2020102305A	K_016809
AU2020102305A	K_083852
AU2020102305A	K_305130
AU2020102305A	K_305131
