PatentID	KeywordID
CN202110398811.1	K_006482
CN202311249181.7	K_155717
CN201910982426.4	K_312776
KR20220138037A	K_087239
US201816179223A	K_392052
CN201980081195.8	K_001319
CN202010893898.5	K_228295
CN202211688240.6	K_346107
LU501248A	K_322780
US202117554828A	K_313102
CN201810076376.9	K_000418
CN201910614713.X	K_311530
CN202310084309.2	K_247294
CN202011048572.9	K_243963
JP2021555854A	K_348976
US201916367219A	K_370424
US202117190507A	K_038361
KR20200030145A	K_001310
CN202110828902.4	K_000061
CN202211462156.2	K_308666
US202217830412A	K_106683
IN202221040445	K_137071
CN202311632901.8	K_349865
US202217976494A	K_362251
CN202210246271.X	K_039364
CN202010317207.7	K_001903
CN202310035062.5	K_347643
US202318365966A	K_390043
CN202010769384.9	K_311647
US201916668459A	K_102320
CN202311565327.9	K_003146
US2022020111W	K_256765
US202117149114A	K_002017
US202318518701A	K_188934
US202117381611A	K_088499
CN202110583903.7	K_197008
EP22757256A	K_369363
CN202211413283.3	K_012144
US202118032115A	K_003030
KR20180140281A	K_000143
CN202310779784.1	K_336142
KR20210180945A	K_323068
JP2021174889A	K_003533
US202217739282A	K_083679
CN202210190167.3	K_017043
CN202110723829.4	K_034275
CN202210275988.7	K_171730
US202117475748A	K_025942
CN202011050704.1	K_319844
CN202010130319.1	K_126548
CN202310844076.1	K_046790
KR20200153326A	K_000061
CN2018118007W	K_022351
US202017034093A	K_137222
CN202023011011.X	K_005660
CN202111252271.2	K_160230
CN202310815607.4	K_017226
KR20220171139A	K_081348
CN202210000110.2	K_313515
CN201910158111.8	K_109101
CN202210773604.4	K_008734
KR20210032454A	K_000679
US202318209183A	K_132878
IN201941028863	K_012927
KR20220128033A	K_009663
IB2023053133W	K_064683
CN201811458042.4	K_002069
US201916545656A	K_047813
CN201810237060.3	K_087321
CN201910636077.0	K_307969
CN202210474688.1	K_323520
US202117188938A	K_082078
US202217586975A	K_015380
US202318103100A	K_412059
US202318233803A	K_003030
US202016742145A	K_163814
US202217578566A	K_137396
US201916352923A	K_034980
CN201910294776.1	K_306979
US202117373301A	K_002085
US2020012653W	K_374993
IN202321071605A	K_363939
CN202210572286.5	K_017040
CN202311576511.3	K_004862
KR20247006882A	K_365228
EP19720241A	K_004170
US202318150889A	K_210629
US202318483404A	K_002057
CN202311588296.9	K_332777
US202017083768A	K_018664
KR2019015509W	K_000753
CN202111406313.3	K_325822
US202318180207A	K_413167
CN202310941973.4	K_090130
US202318381264A	K_000185
EP20769617A	K_368118
IB2023056558W	K_095815
KR20257009984A	K_388305
CN202210039208.9	K_084201
CN202311240699.4	K_004075
CN202311652008.1	K_112777
CN202311534726.9	K_311277
CN202210204250.1	K_000190
CN201880066962.3	K_309097
CN202210914447.4	K_002044
US202118032115A	K_328645
CN202310760615.3	K_086988
CN202210943706.6	K_019998
JP2022532569A	K_094013
CN201811392270.6	K_018165
CN202310048920.X	K_327664
US202016866243A	K_343371
US2022022055W	K_325539
CN202111627783.2	K_332878
CN202310505340.9	K_002133
US202017004609A	K_087336
US202217888185A	K_409014
US202217864933A	K_376497
US202217873458A	K_021127
US202117457945A	K_138448
CN202310002940.3	K_002116
CN202310153691.8	K_134474
CN201811076248.0	K_019981
US202117556891A	K_404382
CN202211084516.X	K_333929
KR20210108084A	K_327490
JP2023013899A	K_003642
KR20220090412A	K_259564
IN202311074914A	K_010189
US202318525474A	K_210270
US202318196842A	K_413355
IN202014002171	K_343448
CN202010728152.9	K_318439
AU2021100672A	K_064684
US202117227913A	K_401615
EP18825419A	K_366697
CN202310851290.X	K_064594
CN202211067658.5	K_001903
CN202110707336.1	K_086303
CN202311074453.4	K_305978
IL29569122A	K_001316
US202218051114A	K_346831
CN202210515775.7	K_319254
CN202311092777.0	K_356181
US201916457167A	K_355262
EP19219535A	K_002035
US202016990411A	K_001105
CN2021084725W	K_323304
US202217837074A	K_371057
US202318527162A	K_416506
CN201910725012.3	K_310752
US202117477784A	K_403297
CN202311629194.7	K_361656
CN202210087058.9	K_086385
CN202311327237.6	K_315631
CN202311336675.9	K_342823
CN202210277740.4	K_112301
US202318323767A	K_348712
CN202210486056.7	K_337368
US202318522075A	K_365248
JP2023034445A	K_151223
US202217861233A	K_408646
US202318324349A	K_101537
US202318351039A	K_378015
CN202110582074.0	K_326316
KR20230069242A	K_326064
KR20210064814A	K_015410
CN202311324535.X	K_094303
CN202311038241.0	K_355802
CN202311387049.2	K_081183
KR20230186051A	K_010344
CN202210275988.7	K_316074
US202117537253A	K_115436
US202217944094A	K_085169
JP2023089770A	K_000046
CN201910728575.8	K_137392
US202217878773A	K_408901
CN202211024853.X	K_106092
US201815933743A	K_390646
KR20180080961A	K_378931
KR20180025818A	K_208386
CN202011479306.1	K_308685
US202217747676A	K_365275
CN202010452017.6	K_084449
CN202310534928.7	K_135554
US202117928214A	K_007753
CN201810845840.6	K_002320
EP21762159A	K_343150
CN202311589564.9	K_317596
KR20220091832A	K_118601
US201916557503A	K_004979
US202117530572A	K_000090
CN202311551035.X	K_360719
US202117631201A	K_404563
CN202010242292.5	K_142804
EP23210154A	K_370325
KR20220128033A	K_013873
CN202311000457.8	K_005660
CN202311074453.4	K_006669
KR20200048457A	K_380956
JP2019022273W	K_090659
KR20210147757A	K_086399
CN202011610670.7	K_322482
US202017017104A	K_311833
CN202111407236.3	K_006669
CN202211225141.4	K_307822
US202016909149A	K_393038
US2023036790W	K_329750
CN201811470100.5	K_026762
US201916365186A	K_020966
CN202310229903.6	K_349090
US2023036797W	K_111767
JP2019152476A	K_082197
CN202211634246.5	K_029956
US202318180476A	K_000370
US202318467993A	K_053707
CN202010307650.6	K_316550
CN202211243569.1	K_019406
US202217931592A	K_409564
CN202010817004.4	K_318893
CN202311797825.6	K_039366
CN202280098632.9	K_322809
CN202011235336.8	K_002052
CN202211716067.6	K_057806
KR20257009984A	K_388299
CN201910264724.X	K_015536
CN202310364802.X	K_327774
US2023076073W	K_376742
CN202210682992.5	K_307822
KR20230010005A	K_310151
EP21854761A	K_139125
KR20230103303A	K_000061
CN202210917631.4	K_328782
KR20210138494A	K_019406
DE102020128209A	K_112191
CN202010231088.3	K_152503
US202318170572A	K_361973
KR20230166690A	K_006801
KR20200029956A	K_059531
CN202210780486.X	K_088571
CN202310520400.4	K_257408
CN202110683898.7	K_012281
US201815986054A	K_391113
CN202211676407.7	K_006271
US201916405551A	K_393949
US202318188193A	K_391953
CN202310305929.4	K_086379
US202016815456A	K_329516
CN202210486056.7	K_042979
CN202310482377.4	K_350963
CN202310421509.2	K_102736
CN202211587872.3	K_053328
CA3051096A	K_305620
CN202011144731.5	K_314886
US202318493270A	K_311768
CN201980086986.X	K_315038
CN202111110784.X	K_107590
CN201810484717.6	K_000697
CN202311550937.1	K_326912
JP2021070349A	K_223594
CN202011165485.1	K_008139
IN201941035691	K_006524
US202017103768A	K_015402
CN202111486358.6	K_296819
CN202111350312.1	K_000061
CN202311743263.7	K_122955
KR20210182110A	K_000061
CN202311422264.1	K_031040
US202217896032A	K_025871
CN202280028207.2	K_346819
CN202210040564.2	K_316002
CN201910058735.2	K_111107
CN202311377223.5	K_358848
CN202110217882.7	K_086386
US202117920590A	K_001456
CN201810329238.7	K_086386
CN202311398533.5	K_107590
US202117213918A	K_084961
US202217959689A	K_338569
US202217690610A	K_117054
CN202111305048.X	K_330743
CN202311775041.3	K_123173
US202017074464A	K_000162
CN202280069073.9	K_212113
CN202211457295.6	K_009186
US202217976494A	K_000148
KR20180166464A	K_314363
CN201910587455.0	K_066370
US202118033205A	K_260552
CN202310500567.4	K_060459
KR20200180593A	K_310227
CN202110172841.0	K_323939
US201917264699A	K_157531
US202117920590A	K_139105
EP18826119A	K_017979
CN202211203268.6	K_321422
CN202011271277.X	K_320786
US201815907487A	K_008658
CN202011169549.5	K_000418
US202318397921A	K_347432
EP21782012A	K_000148
CN202011051731.0	K_205914
CN202210733011.5	K_339256
CN202011179725.3	K_046481
CN202310697231.1	K_000613
FR2110498A	K_000061
CN202310058537.2	K_347810
CN202310565792.6	K_122647
US202218076792A	K_210342
CN202211409069.0	K_018333
EP2022086708W	K_367824
US202017636841A	K_064868
CN202210684529.4	K_002321
CN202280056775.3	K_112587
US202318133877A	K_106370
CN202210774152.1	K_000844
CN202121146878.8	K_000418
CN202210277740.4	K_335843
CN202210233038.8	K_335351
CN202210657179.2	K_338746
US202016990411A	K_002823
US202217827394A	K_408350
CN201880089729.7	K_309238
US202016804390A	K_103999
IN202341077570	K_004862
US202017065070A	K_399183
CN202210324682.6	K_309417
CN201810706272.1	K_008262
IN202024002510	K_011486
CN202210128714.5	K_000697
CN202310582646.4	K_218599
CN202210459242.1	K_337160
US202318350247A	K_092438
CN202211294542.5	K_310906
CN202311716499.1	K_341798
KR20230155267A	K_360572
CN202111035987.7	K_161363
US202118266569A	K_140598
US202318182669A	K_413206
CN202211359202.6	K_343631
US201917262562A	K_020871
IN201941035691	K_002075
CN201810603814.2	K_016458
KR20190015710A	K_090159
CN2018085094W	K_031745
CN202110581678.3	K_326283
CN202010229641.X	K_009462
CN202210330727.0	K_085478
US201916259136A	K_366951
US201916505620A	K_101825
US201816112169A	K_095815
CN202211280071.2	K_018523
CN202310992866.4	K_310461
CN202010167880.7	K_019105
EP2020057148W	K_000190
CN202211018634.0	K_341314
CN202110610538.4	K_326453
IN201924002838	K_372424
US201916285985A	K_079328
US202017919365A	K_000370
CN202110953805.8	K_002194
CN202110769129.9	K_028374
CN202210868161.7	K_340040
US202318850694A	K_416989
CN202111616248.7	K_226665
US202016991344A	K_306850
CN202380026144.1	K_002017
CN202010603011.4	K_281154
CN202211239005.0	K_159837
EP25188791A	K_004870
CN202011361273.0	K_294506
US2019015043W	K_392777
US202318400337A	K_022240
US202217931093A	K_263248
CN202311046291.3	K_342925
CN202310047220.9	K_305944
US202218056559A	K_323000
CN202311077007.9	K_056548
CN202010257497.0	K_114039
CN202310184373.8	K_225978
CN202310669747.5	K_350880
JP2019238401A	K_008262
CN202010538989.7	K_142873
CN202310419595.3	K_330897
US202218083886A	K_087144
CN202310718154.3	K_310396
JP2023162930A	K_000185
US202117531776A	K_004683
AU2022051585W	K_015646
CN201910342011.0	K_080667
CN202011481727.8	K_015525
US202218072566A	K_410799
CN201910646202.6	K_102738
US202218059710A	K_410634
CN201810362152.4	K_014916
JP2021176421A	K_086328
US202117504711A	K_079163
FR2202257A	K_000064
US201916556838A	K_392072
CN202080011203.4	K_117086
US202017019125A	K_398937
CN202010817004.4	K_015246
EP23220696A	K_080116
CN201911012978.9	K_164802
CN201910058735.2	K_309542
CN202211413283.3	K_286595
US201816604076A	K_390731
CN202210387155.X	K_259024
CN201811456735.X	K_307989
JP2022114100A	K_194959
CN202311400149.4	K_002346
US201917421084A	K_003016
CN202310817914.6	K_320016
IN202121029153	K_349576
JP2018242584A	K_046481
US202117524471A	K_403959
EP23202502A	K_108781
CN2018122059W	K_008975
CN202111433760.8	K_004447
US202217751333A	K_037761
CN201911311109.6	K_086026
CN202310322770.7	K_086384
CN202210256543.4	K_322078
CN202210483534.9	K_312144
CN202311086400.4	K_008450
US202117316893A	K_396543
CN202311810136.4	K_069872
KR20257017665A	K_256149
CN202311543973.5	K_360613
FR1800307A	K_211994
CN202311319163.1	K_358220
CN202121993367.X	K_333237
CN202311695298.8	K_174545
CN202311565230.8	K_018707
CN202210344212.6	K_336237
CN202310354849.8	K_336142
CN202311097477.1	K_356199
KR20257010124A	K_314826
CN202111228906.5	K_330175
CN202310031398.4	K_052449
US202117479916A	K_369104
CN202111545932.0	K_150560
EP21216303A	K_000825
CN202311517360.4	K_115735
TW112149564A	K_012800
US202117215888A	K_001855
CN202310410380.5	K_306936
CN201910328985.3	K_281154
EP2020057148W	K_074723
US201916522235A	K_160218
KR20180066744A	K_255737
CN202310801406.9	K_284021
CN201911251292.5	K_000061
TW107118268A	K_017577
CN202080040039.X	K_107757
US202017068142A	K_399255
CN202310250828.1	K_305976
CN202211154202.2	K_046269
CN202310553904.6	K_351836
EP19800091A	K_367313
CN202311266962.7	K_087145
CN202010692749.2	K_161568
JP2023191284A	K_001648
KR20220145384A	K_158003
CN202210917631.4	K_308480
CN202010776018.6	K_026337
CN202180050449.7	K_213439
EP18164451A	K_366459
KR20210106053A	K_223892
CN202311707042.4	K_309198
KR20180071799A	K_057233
US201816003518A	K_132908
CN202111217560.9	K_330138
US202318233126A	K_138529
CN202211446962.0	K_015379
IN201917022385	K_372407
CN202210083359.4	K_326427
CN202210246271.X	K_000367
CN202311698328.0	K_139475
KR20190158101A	K_007934
CN202211504644.5	K_344634
CN202310423031.7	K_316930
CN202111546267.7	K_094957
US202117378887A	K_000058
CN202310534928.7	K_006464
US201916978261A	K_395976
KR20200048994A	K_380982
CN202310619913.0	K_352437
JP2018032663A	K_090198
US202017758439A	K_082197
CN202211254432.6	K_007242
US202318385474A	K_394292
US202217826611A	K_313513
US201816163565A	K_081054
EP19765341A	K_022229
US202217670038A	K_341629
CN201811221643.3	K_307556
CN202310697231.1	K_005043
US201917262792A	K_000615
KR20200010670A	K_372853
CN202311724249.2	K_321040
EP19160127A	K_366857
CN202211248613.8	K_089587
CN202111490901.X	K_309720
DE202023103973U	K_086878
US201916588789A	K_017575
CN202110244970.6	K_052147
CN202010668385.4	K_318148
CN202311832006.0	K_101403
CN202310362925.X	K_001226
CN202311241866.7	K_001907
US2019029895W	K_090946
CN202011051731.0	K_029227
US202117521630A	K_001470
US202217898887A	K_018978
CN202311279033.X	K_307821
US201816150018A	K_028951
US202017071680A	K_105038
US202218066248A	K_113501
US202017005079A	K_337038
US202318333281A	K_006221
CN202380026144.1	K_319133
CN202011079450.6	K_320004
CN202310896128.X	K_000061
IN202141059724	K_213636
US202017774640A	K_000679
US201816117271A	K_264522
KR20200061415A	K_000904
KR20230188353A	K_041005
US201916439407A	K_004160
CN202210039208.9	K_327462
CN202310855285.6	K_000146
US2019016091W	K_013159
US202318318943A	K_204983
KR20220090412A	K_107180
CN202111371935.7	K_218950
CN202311240699.4	K_000821
CN201810094988.0	K_002635
CN2018085094W	K_000061
US201916968310A	K_316700
EP19800091A	K_367306
US202117477784A	K_308911
US202318184459A	K_348712
CN202211728523.9	K_346341
CH15082022A	K_000022
US2021054489W	K_132341
US201916559114A	K_028646
US202016951213A	K_051417
US201815894031A	K_000679
CN202311827471.5	K_364157
KR20210072606A	K_119101
CN202210028555.1	K_009663
IN202327035740	K_000825
CN202311362019.6	K_358665
CN202110610538.4	K_272993
US202017032509A	K_001321
EP22216503A	K_003053
US202218147625A	K_017067
CN202210250711.9	K_335534
CN202310200598.8	K_036188
CN202310943518.8	K_000826
CN202310579091.8	K_329219
CN202111268831.3	K_330440
US202318485225A	K_248438
CN202211414880.8	K_344168
CN201810750002.0	K_022859
CN201910724830.1	K_307968
US202318133877A	K_309481
CN202310967219.8	K_324095
IN202021055433	K_084696
US202217590487A	K_406429
CN202110411326.3	K_004126
KR20180165182A	K_032863
EP22760690A	K_001470
US202117342853A	K_346991
US202017075022A	K_000419
US201816015333A	K_196882
CN202380019977.5	K_198089
CN202111275914.5	K_330582
US202017011630A	K_318202
IN202341029768	K_010145
US202117337868A	K_140650
US202218703832A	K_001500
US201917264699A	K_000602
US202218568256A	K_411325
US201815863669A	K_004247
CN202311279151.0	K_327535
CN202110610282.7	K_141356
CN202210240227.8	K_331132
CN201911330753.8	K_312900
DE102022103059A	K_003053
CN202210840255.3	K_339846
US201816110730A	K_094369
JP2022114100A	K_343738
US201816141558A	K_117086
CN202121450392.3	K_249535
JP2019130033A	K_090805
GB202212811A	K_371522
KR20220155296A	K_385547
CN202180005307.9	K_333293
KR20230115991A	K_162126
US202117518012A	K_000488
