AssigneeID	KeywordID
A_000008	K_000058
A_000008	K_000418
A_000008	K_000818
A_000008	K_001453
A_000008	K_002044
A_000008	K_025942
A_000008	K_027532
A_000008	K_072609
A_000008	K_084641
A_000008	K_086320
A_000008	K_086951
A_000008	K_090318
A_000008	K_096234
A_000008	K_099732
A_000008	K_102511
A_000008	K_102939
A_000008	K_103919
A_000008	K_105101
A_000008	K_107970
A_000008	K_110854
A_000008	K_114549
A_000008	K_115716
A_000008	K_131043
A_000008	K_137071
A_000008	K_140678
A_000008	K_142209
A_000008	K_163572
A_000008	K_268712
A_000008	K_307630
A_000008	K_349689
A_000008	K_351202
A_000008	K_355149
A_000008	K_365698
A_000008	K_367643
A_000008	K_371612
A_000008	K_372967
A_000008	K_373045
A_000008	K_373787
A_000008	K_375442
A_000008	K_379145
A_000008	K_381943
A_000008	K_390422
A_000008	K_397828
A_000008	K_399003
A_000008	K_407697
A_000008	K_409969
A_000008	K_442358
A_000008	K_746375
A_000008	K_754213
A_000008	K_754218
A_000008	K_769546
A_000020	K_022174
A_000020	K_027709
A_000020	K_106542
A_000020	K_138120
A_000020	K_141373
A_000020	K_192569
A_000020	K_210591
A_000020	K_211251
A_000020	K_345934
A_000020	K_374977
A_000020	K_375051
A_000020	K_399501
A_000020	K_418068
A_000020	K_459481
A_000020	K_504278
A_000020	K_729964
A_000022	K_007011
A_000022	K_183407
A_000022	K_197856
A_000022	K_213489
A_000022	K_286455
A_000022	K_368118
A_000022	K_372664
A_000022	K_393237
A_000022	K_408205
A_000022	K_446049
A_000037	K_000061
A_000037	K_000153
A_000037	K_000227
A_000037	K_000383
A_000037	K_000418
A_000037	K_000818
A_000037	K_001672
A_000037	K_002085
A_000037	K_002143
A_000037	K_003640
A_000037	K_006811
A_000037	K_010075
A_000037	K_015417
A_000037	K_016080
A_000037	K_022541
A_000037	K_025859
A_000037	K_026134
A_000037	K_043260
A_000037	K_045191
A_000037	K_057603
A_000037	K_059672
A_000037	K_065294
A_000037	K_067260
A_000037	K_080561
A_000037	K_081327
A_000037	K_082197
A_000037	K_092697
A_000037	K_099732
A_000037	K_100359
A_000037	K_106360
A_000037	K_106683
A_000037	K_107846
A_000037	K_109281
A_000037	K_110292
A_000037	K_123998
A_000037	K_136186
A_000037	K_138117
A_000037	K_138118
A_000037	K_140075
A_000037	K_145084
A_000037	K_176809
A_000037	K_214050
A_000037	K_216254
A_000037	K_303219
A_000037	K_309532
A_000037	K_310094
A_000037	K_313726
A_000037	K_315663
A_000037	K_317207
A_000037	K_322458
A_000037	K_332552
A_000037	K_335162
A_000037	K_346137
A_000037	K_352539
A_000037	K_353661
A_000037	K_363093
A_000037	K_363094
A_000037	K_366191
A_000037	K_367057
A_000037	K_374855
A_000037	K_377244
A_000037	K_380030
A_000037	K_390311
A_000037	K_399908
A_000037	K_408764
A_000037	K_414785
A_000037	K_415007
A_000037	K_420892
A_000037	K_430887
A_000037	K_432047
A_000037	K_432048
A_000037	K_432050
A_000037	K_432819
A_000037	K_435983
A_000037	K_436461
A_000037	K_448952
A_000037	K_457878
A_000037	K_495873
A_000037	K_505807
A_000037	K_511268
A_000037	K_687982
A_000037	K_706528
A_000037	K_708077
A_000037	K_713953
A_000037	K_721585
A_000037	K_721586
A_000037	K_721590
A_000037	K_739421
A_000037	K_744062
A_000037	K_744064
A_000037	K_751268
A_000037	K_772011
A_000047	K_002045
A_000047	K_011486
A_000047	K_030710
A_000047	K_066250
A_000047	K_080994
A_000047	K_081893
A_000047	K_084101
A_000047	K_092204
A_000047	K_108259
A_000047	K_158492
A_000047	K_284279
A_000047	K_309215
A_000047	K_314584
A_000047	K_350807
A_000047	K_369075
A_000047	K_397883
A_000047	K_528385
A_000048	K_000068
A_000048	K_000069
A_000048	K_000151
A_000048	K_000250
A_000048	K_000366
A_000048	K_000373
A_000048	K_000376
A_000048	K_000418
A_000048	K_000806
A_000048	K_001318
A_000048	K_001319
A_000048	K_001320
A_000048	K_002044
A_000048	K_002619
A_000048	K_002620
A_000048	K_100680
A_000048	K_264187
A_000048	K_391511
A_000048	K_412643
A_000050	K_002017
A_000050	K_079381
A_000050	K_111078
A_000050	K_132396
A_000050	K_745378
A_000050	K_766732
A_000069	K_053335
A_000069	K_114030
A_000069	K_197114
A_000069	K_323000
A_000069	K_370273
A_000069	K_398358
A_000069	K_402333
A_000069	K_404814
A_000069	K_413104
A_000069	K_438461
A_000069	K_438462
A_000069	K_438464
A_000099	K_000068
A_000099	K_000069
A_000099	K_000150
A_000099	K_000162
A_000099	K_000198
A_000099	K_000227
A_000099	K_000366
A_000099	K_000371
A_000099	K_000418
A_000099	K_000769
A_000099	K_001013
A_000099	K_001092
A_000099	K_001109
A_000099	K_001110
A_000099	K_001132
A_000099	K_001176
A_000099	K_001313
A_000099	K_001317
A_000099	K_001318
A_000099	K_001319
A_000099	K_001320
A_000099	K_001479
A_000099	K_001491
A_000099	K_001500
A_000099	K_001506
A_000099	K_001507
A_000099	K_001636
A_000099	K_001672
A_000099	K_001797
A_000099	K_001925
A_000099	K_002044
A_000099	K_002085
A_000099	K_002997
A_000099	K_003271
A_000099	K_003815
A_000099	K_004689
A_000099	K_005010
A_000099	K_005782
A_000099	K_006056
A_000099	K_006759
A_000099	K_006808
A_000099	K_007325
A_000099	K_008526
A_000099	K_009462
A_000099	K_010036
A_000099	K_010075
A_000099	K_012667
A_000099	K_015410
A_000099	K_016209
A_000099	K_019815
A_000099	K_019998
A_000099	K_020096
A_000099	K_020127
A_000099	K_024590
A_000099	K_026048
A_000099	K_027532
A_000099	K_029431
A_000099	K_031506
A_000099	K_037062
A_000099	K_037946
A_000099	K_042161
