PatentID	KeywordID
AU2018203863A	K_032387
AU2018250358A	K_087973
AU2018250358A	K_000146
AU2018250358A	K_511379
AU2018250358A	K_016809
AU2018250358A	K_006808
AU2018250358A	K_133012
AU2018250358A	K_706491
AU2018250358A	K_371345
AU2018250358A	K_358830
AU2018250358A	K_323085
AU2018269657A	K_019929
AU2018269657A	K_000058
AU2018269657A	K_194233
AU2018269657A	K_706498
AU2018269657A	K_028549
AU2018269657A	K_134737
AU2018269669A	K_153825
AU2018269669A	K_131889
AU2018269669A	K_012927
AU2018269669A	K_000153
AU2018269669A	K_009123
AU2018269669A	K_082375
AU2018269669A	K_000151
AU2018269669A	K_181803
AU2018269669A	K_000069
AU2018269669A	K_265048
AU2018269669A	K_142658
AU2018269669A	K_019998
AU2018269669A	K_706501
AU2018269669A	K_706502
AU2018269669A	K_001313
AU2018433296A	K_706503
AU2018433296A	K_346497
AU2018433296A	K_706504
AU2018433296A	K_373548
AU2018433296A	K_373549
AU2018433296A	K_373546
AU2018433296A	K_373547
AU2018433296A	K_706505
AU2018433296A	K_706506
AU2018433296A	K_370692
AU2018433296A	K_370693
AU2018433296A	K_104031
AU2018433296A	K_393548
AU2018434835A	K_373547
AU2018434835A	K_364504
AU2018434835A	K_706510
AU2018434835A	K_448743
AU2018434835A	K_365607
AU2018434835A	K_374826
AU2018434835A	K_706511
AU2019200485A	K_198501
AU2019200485A	K_008382
AU2019200485A	K_413845
AU2019200485A	K_065285
AU2019200485A	K_085093
AU2019200485A	K_000806
AU2019200485A	K_031983
AU2019200485A	K_003013
AU2019200485A	K_085735
AU2019201684A	K_099732
AU2019201684A	K_026134
AU2019201684A	K_000383
AU2019201684A	K_015417
AU2019201684A	K_010075
AU2019201684A	K_435983
AU2019201684A	K_214050
AU2019201684A	K_420892
AU2019201684A	K_366191
AU2019201684A	K_335162
AU2019201684A	K_332552
AU2019201684A	K_346137
AU2019201684A	K_505807
AU2019201684A	K_138117
AU2019201684A	K_138118
AU2019201684A	K_176809
AU2019201684A	K_706528
AU2019201684A	K_309532
AU2019201684A	K_414785
AU2019203987A	K_079911
AU2019203987A	K_706534
AU2019203987A	K_465698
AU2019203987A	K_085483
AU2019203987A	K_025942
AU2019203987A	K_079325
AU2019203987A	K_371950
AU2019203987A	K_371614
AU2019203987A	K_458920
AU2019203987A	K_138529
AU2019210203A	K_379971
AU2019210203A	K_388816
AU2019210203A	K_536215
AU2019210203A	K_706543
AU2019210203A	K_412838
AU2019210203A	K_373561
AU2019210203A	K_706544
AU2019210203A	K_706545
AU2019210203A	K_706546
AU2019210203A	K_001500
AU2019210203A	K_000227
AU2019210203A	K_437556
AU2019210203A	K_490819
AU2019210203A	K_004526
AU2019210203A	K_133958
AU2019210203A	K_373810
AU2019227915A	K_015999
AU2019227915A	K_016209
AU2019227915A	K_000419
AU2019231140A	K_092438
AU2019324203A	K_068509
AU2019324203A	K_000955
AU2019324203A	K_008459
AU2019324203A	K_001882
AU2019324203A	K_549172
AU2019324203A	K_126776
AU2019324203A	K_102869
AU2019385802A	K_368064
AU2019385802A	K_442358
AU2019385802A	K_133244
AU2019385802A	K_031927
AU2019385802A	K_430610
AU2019388833A	K_442358
AU2019388833A	K_366533
AU2019388833A	K_409700
AU2019388833A	K_611001
AU2019388833A	K_706586
AU2019388833A	K_706587
AU2019388833A	K_092500
AU2019388833A	K_183703
AU2019401560A	K_210588
AU2019401560A	K_388471
AU2019401560A	K_706595
AU2019401560A	K_510815
AU2019401560A	K_102939
AU2019401560A	K_369775
AU2019401560A	K_706596
AU2019401560A	K_266385
AU2019401560A	K_706598
AU2019401560A	K_706599
AU2020200523A	K_001491
AU2020200523A	K_107430
AU2020200523A	K_312172
AU2020200523A	K_351044
AU2020200523A	K_432190
AU2020202095A	K_367988
AU2020202095A	K_706611
AU2020202095A	K_706612
AU2020202095A	K_405015
AU2020202095A	K_706614
AU2020202095A	K_367979
AU2020202095A	K_012308
AU2020202095A	K_205889
AU2020202095A	K_274590
AU2020202095A	K_091823
AU2020202095A	K_416273
AU2020202095A	K_371327
AU2020202095A	K_082138
AU2020218488A	K_706626
AU2020218488A	K_706627
AU2020218488A	K_706628
AU2020218488A	K_706630
AU2020226986A	K_000191
AU2020226986A	K_000366
AU2020226986A	K_006524
AU2020226986A	K_001180
AU2020226986A	K_001310
AU2020226986A	K_009295
AU2020226986A	K_000022
AU2020226986A	K_081694
AU2020226986A	K_046759
AU2020226986A	K_332155
AU2020226986A	K_088587
AU2020226986A	K_015901
AU2020264882A	K_706643
AU2020264882A	K_706644
AU2020264882A	K_706645
AU2020264882A	K_706646
AU2020264882A	K_706647
AU2020264882A	K_706650
AU2020264882A	K_706651
AU2020264882A	K_364937
AU2020264882A	K_706654
AU2020264882A	K_396277
AU2020264882A	K_039374
AU2020264882A	K_104064
AU2020264882A	K_385492
AU2020264882A	K_706656
AU2020264882A	K_445427
AU2020264882A	K_001500
AU2020264882A	K_000162
AU2020267110A	K_706658
AU2020267110A	K_706661
AU2020267110A	K_706662
AU2020267110A	K_706663
AU2020267110A	K_706664
AU2020267110A	K_063657
AU2020267110A	K_706665
AU2020267110A	K_706666
AU2020267110A	K_706667
AU2020267110A	K_333434
AU2020267110A	K_706669
AU2020267110A	K_706670
AU2020267110A	K_706672
AU2020267110A	K_379773
AU2020267287A	K_002044
AU2020267287A	K_001731
AU2020267287A	K_607559
AU2020267287A	K_458211
AU2020267287A	K_421755
AU2020267287A	K_088969
AU2020267287A	K_086210
AU2020267287A	K_003432
AU2020267287A	K_090571
AU2020267287A	K_008526
AU2020267287A	K_025486
AU2020267287A	K_000263
AU2020267287A	K_015417
AU2020284495A	K_124177
AU2020284495A	K_002044
AU2020284495A	K_706689
AU2020284495A	K_128056
AU2020284495A	K_019815
AU2020284495A	K_369018
AU2020284495A	K_000399
AU2020284495A	K_706695
AU2020284495A	K_101463
AU2020284495A	K_001109
AU2020289841A	K_102512
AU2020289841A	K_138578
AU2020289841A	K_067651
AU2020289841A	K_330941
AU2020289841A	K_084185
AU2020289841A	K_136772
AU2020289841A	K_117170
AU2020289841A	K_232926
AU2020292220A	K_385937
AU2020292220A	K_434999
AU2020292220A	K_001213
AU2020292220A	K_346528
AU2020292220A	K_260328
AU2020292220A	K_403659
AU2020292220A	K_450975
AU2020292220A	K_706729
AU2020292220A	K_706730
AU2020292220A	K_706732
AU2020292220A	K_706733
AU2020292220A	K_706735
AU2020292220A	K_373098
