AssigneeID	KeywordID
A_005857	K_728996
A_006703	K_314483
A_008252	K_373548
A_025911	K_369930
A_021174	K_710880
A_036272	K_040214
A_006759	K_741818
A_005559	K_441545
A_036261	K_243507
A_024751	K_199668
A_006695	K_193076
A_020640	K_512910
A_000910	K_724264
A_006703	K_714170
A_012652	K_713209
A_007705	K_772332
A_005496	K_194479
A_035894	K_000707
A_007705	K_355895
A_012652	K_431180
A_036349	K_373393
A_006695	K_717034
A_006170	K_346731
A_000910	K_710364
A_000947	K_344180
A_007719	K_734504
A_006703	K_715900
A_005857	K_434418
A_012652	K_708360
A_007790	K_110725
A_005857	K_730114
A_006083	K_746493
A_007705	K_056468
A_000129	K_372110
A_025911	K_765996
A_035870	K_508916
A_007383	K_001025
A_006084	K_613955
A_035873	K_406635
A_008042	K_369916
A_005622	K_733673
A_021049	K_337073
A_000336	K_301322
A_007705	K_375331
A_020640	K_727808
A_022376	K_405009
A_000910	K_081695
A_007705	K_715571
A_024787	K_342247
A_006695	K_356243
A_007705	K_764264
A_000910	K_708354
A_024450	K_716140
A_035870	K_061075
A_007661	K_451500
A_007705	K_770258
A_006695	K_543832
A_006703	K_107023
A_036335	K_375331
A_007705	K_753474
A_029245	K_711008
A_007705	K_437449
A_023108	K_430080
A_025434	K_107281
A_006694	K_743634
A_033952	K_386003
A_035875	K_210121
A_006156	K_038537
A_006695	K_431903
A_008396	K_768384
A_009903	K_088042
A_021162	K_261654
A_000910	K_722189
A_000129	K_000022
A_036373	K_035664
A_021174	K_707042
A_000099	K_714845
A_008379	K_088969
A_006695	K_729661
A_006169	K_707421
A_006695	K_721110
A_007706	K_046035
A_006695	K_748619
A_006284	K_134417
A_000910	K_714475
A_000910	K_003621
A_006084	K_406635
A_006695	K_733337
A_036253	K_086538
A_024391	K_000064
A_012652	K_720670
A_006695	K_614440
A_036102	K_137729
A_020640	K_369930
A_008103	K_402754
A_035909	K_111383
A_006083	K_707141
A_006695	K_749631
A_025911	K_332351
A_006703	K_774288
A_036305	K_080932
A_006083	K_735675
A_006083	K_442431
A_007705	K_209354
A_005526	K_761413
A_024093	K_683098
A_006702	K_608327
A_024353	K_710739
A_022493	K_711056
A_000910	K_492172
A_007996	K_022240
A_000099	K_728385
A_007705	K_718962
A_035860	K_559342
A_007383	K_706871
A_005496	K_082853
A_012652	K_706869
A_036192	K_039374
A_002872	K_708463
A_008042	K_750752
A_012652	K_726995
A_006703	K_450626
A_006702	K_735698
A_000099	K_347129
A_007705	K_107907
A_036123	K_115297
A_002872	K_515745
A_035870	K_085659
A_035977	K_736012
A_035969	K_709402
A_005496	K_487419
A_008801	K_257213
A_036062	K_711251
A_005882	K_076930
A_007705	K_731506
A_036223	K_722283
A_024450	K_025558
A_022585	K_759821
A_036293	K_112754
A_000260	K_417524
A_006695	K_500670
A_012652	K_362182
A_006695	K_431871
A_000910	K_510815
A_022406	K_258141
A_006703	K_132908
A_006703	K_708809
A_025527	K_104796
A_006083	K_715310
A_035857	K_086210
A_022987	K_004856
A_035879	K_088409
