PatentID	AssigneeID
AU2018203863A	A_035852
AU2018250358A	A_020566
AU2018269657A	A_035853
AU2018269669A	A_035853
AU2018433296A	A_006083
AU2018434835A	A_006083
AU2019200485A	A_035854
AU2019201684A	A_000037
AU2019203987A	A_007824
AU2019210203A	A_007705
AU2019210490A	A_007705
AU2019227915A	A_007996
AU2019231140A	A_024313
AU2019324203A	A_035855
AU2019385802A	A_022445
AU2019388833A	A_022445
AU2019401560A	A_035856
AU2020200523A	A_007383
AU2020202095A	A_007824
AU2020218488A	A_008252
AU2020226986A	A_013104
AU2020264882A	A_006695
AU2020267110A	A_007705
AU2020267287A	A_035857
AU2020284495A	A_029220
AU2020289841A	A_029241
AU2020292220A	A_007705
AU2020304508A	A_007705
AU2020308330A	A_007705
AU2020379699A	A_005496
AU2021203703A	A_024793
AU2021218045A	A_007705
AU2021282441A	A_022413
AU2021318151A	A_008252
AU2021350947A	A_005496
AU2022200032A	A_007705
AU2022201975A	A_035858
AU2022203003A	A_025603
AU2022204271A	A_007705
AU2022211807A	A_007705
AU2022217677A	A_006703
AU2022273204A	A_007383
AU2022275067A	A_007383
AU2022323653A	A_007383
AU2022327619A	A_007383
AU2022359405A	A_005857
AU2022473674A	A_013124
BR112019015585A	A_000100
BR112019015585A	A_007383
BR112019015712A	A_007705
BR112019016746A	A_006166
BR112019016746A	A_006184
BR112019018477A	A_035859
BR112019018477A	A_035860
BR112019018891A	A_035861
BR112019019380A	A_035862
BR112019020385A	A_006695
BR112019022424A	A_035862
BR112019024051A	A_023720
BR112019024051A	A_005857
BR112019026254A	A_023720
BR112019026254A	A_005857
BR112019027309A	A_035863
BR112020000789A	A_020640
BR112020000789A	A_007705
BR112020001349A	A_007705
BR112020002771A	A_023720
BR112020002771A	A_005857
BR112020002914A	A_023720
BR112020002914A	A_005857
BR112020004728A	A_007705
BR112020009623A	A_007705
BR112020020446A	A_023720
BR112020020446A	A_005857
BR122023027115A	A_022585
CA3054732A	A_024391
CA3082641A	A_000099
CA3086686A	A_035864
CA3104458A	A_028085
CA3118717A	A_007824
CA3210005A	A_020615
CA3232052A	A_005857
CN2018095989W	A_012652
CN2018095989W	A_005857
CN201810009451.X	A_021033
CN201810009451.X	A_013765
CN201810032190.3	A_012652
CN201810046874.9	A_002872
CN201810083549.X	A_021728
CN201810088756.4	A_000337
CN201810116468.5	A_000260
CN201810151871.1	A_012652
CN201810152593.1	A_035865
CN201810157708.6	A_035866
CN201810171875.6	A_020726
CN201810186144.9	A_012652
CN201810251674.7	A_003255
CN201810304081.2	A_000351
CN201810311366.9	A_020685
CN201810315139.3	A_035867
CN201810318003.8	A_012652
CN201810323929.6	A_000260
CN201810341810.1	A_000177
CN201810355901.0	A_021811
CN201810392201.9	A_000318
CN201810396834.7	A_003787
CN201810396881.1	A_003787
CN201810413821.6	A_035868
CN201810451394.0	A_035867
CN201810453113.5	A_000260
CN201810531970.2	A_000162
CN201810585522.0	A_012652
CN201810590560.5	A_001099
CN201810590560.5	A_001676
CN201810592489.4	A_029500
CN201810599086.2	A_002872
CN201810629808.4	A_035869
CN201810643646.X	A_000177
CN201810648572.9	A_000182
CN201810662761.1	A_000294
CN201810713851.9	A_000198
CN201810714250.X	A_035870
CN201810772483.5	A_000177
CN201810804982.8	A_012652
CN201810815340.8	A_035870
CN201810837247.7	A_035871
CN201810853178.9	A_001018
CN201810875063.X	A_000260
CN201810911111.6	A_008801
CN201810921247.5	A_035872
CN201810930410.4	A_003787
CN201810963381.1	A_020989
CN201810981291.5	A_001485
CN201811000578.1	A_000260
CN201811000613.X	A_012739
CN201811017550.9	A_035873
CN201811036876.6	A_012652
CN201811070775.0	A_000442
CN201811083007.9	A_000514
CN201811139214.1	A_035870
CN201811143507.7	A_012652
CN201811144945.5	A_000336
CN201811151126.3	A_012652
CN201811157942.5	A_000294
CN201811189882.5	A_035865
CN201811189926.4	A_001676
CN201811242130.0	A_035870
CN201811257912.1	A_000234
CN201811279380.1	A_000157
CN201811337331.9	A_035873
CN201811464456.8	A_035870
CN201811473454.5	A_035870
CN201811498158.0	A_035874
CN201811584840.1	A_021863
CN201811602445.1	A_012652
CN201811634904.4	A_035870
CN201880000666.3	A_021162
CN201880001252.2	A_021162
CN201880002072.6	A_021162
CN201880010106.6	A_035875
CN201880010253.3	A_000910
CN201880010420.4	A_000910
CN201880013045.9	A_000910
CN201880014462.5	A_035876
CN201880015006.2	A_000910
CN201880015395.9	A_035877
CN201880015799.8	A_000910
CN201880016027.6	A_021174
CN201880017727.7	A_000910
CN201880018156.9	A_000910
CN201880021012.9	A_020685
CN201880025566.6	A_020920
CN201880028800.0	A_000910
CN201880028923.4	A_000910
CN201880031568.6	A_000128
CN201880031605.3	A_000910
CN201880031979.5	A_000910
CN201880038337.8	A_000910
CN201880039025.9	A_000910
CN201880039136.X	A_000910
CN201880039641.4	A_000910
CN201880040489.1	A_035877
CN201880041024.8	A_000910
CN201880041436.1	A_000910
CN201880045440.5	A_000910
CN201880047305.4	A_000910
CN201880049007.9	A_000910
CN201880050082.7	A_021170
CN201880052569.9	A_000910
CN201880053131.2	A_000910
CN201880053901.3	A_000910
CN201880054496.7	A_000910
CN201880055578.3	A_000910
CN201880056246.7	A_020685
CN201880060342.9	A_000910
CN201880062026.5	A_035878
CN201880062200.6	A_030103
CN201880062378.0	A_000260
CN201880063965.1	A_020659
CN201880064104.5	A_000910
CN201880064392.4	A_000910
CN201880064742.7	A_030103
CN201880065091.3	A_000910
CN201880067370.3	A_000910
CN201880069173.5	A_000910
CN201880070306.0	A_000910
CN201880070309.4	A_000910
CN201880070506.6	A_000910
CN201880070548.X	A_000910
CN201880072762.9	A_000910
CN201880073046.2	A_012652
CN201880074325.0	A_000910
CN201880079323.0	A_035878
CN201880083576.5	A_000910
CN201880084429.X	A_000260
CN201880084957.5	A_000910
CN201880088795.2	A_012652
CN201880090092.3	A_035875
CN201880092742.8	A_035879
CN201880095567.8	A_012652
CN201880095694.8	A_035878
CN201880095762.0	A_035878
CN201880095806.X	A_035878
CN201880096315.7	A_000910
CN201880097009.5	A_035878
CN201880097308.9	A_035878
CN201880097550.6	A_035878
CN201880097804.4	A_035878
CN201880097817.1	A_035878
CN201880098196.9	A_035878
CN201880098221.3	A_021148
CN201880098574.3	A_035878
CN201880098922.7	A_035878
CN201880099016.9	A_035878
CN201880099088.3	A_035878
CN201880099681.8	A_035878
CN201880099809.0	A_035878
CN201880100325.3	A_035878
CN201880100580.8	A_035878
CN201880100596.9	A_035878
CN201880100679.8	A_035878
CN201910007724.1	A_035870
CN201910011585.X	A_035880
CN201910011836.4	A_021059
CN201910023940.5	A_012652
CN201910030769.0	A_035881
CN201910064942.9	A_035882
CN201910073231.8	A_012652
CN201910088162.8	A_012652
CN201910100873.2	A_012652
CN201910100893.X	A_012652
CN201910115215.0	A_012652
CN201910116479.8	A_035873
CN201910131046.X	A_005132
CN201910131046.X	A_035883
CN201910198752.6	A_000657
CN201910198752.6	A_000658
CN201910204038.3	A_012652
CN201910224315.7	A_012652
CN201910227756.2	A_035870
CN201910236219.4	A_012652
CN201910252502.6	A_012652
CN201910260440.3	A_012652
CN201910279483.6	A_000294
CN201910306087.8	A_002312
CN201910308109.4	A_012739
CN201910309464.3	A_001485
CN201910310680.X	A_012652
CN201910337882.3	A_035870
CN201910347608.4	A_000947
CN201910348522.3	A_012652
CN201910357132.2	A_021148
CN201910361869.1	A_012652
CN201910364616.X	A_012652
CN201910384002.8	A_000947
CN201910407153.0	A_000177
CN201910430492.0	A_000177
CN201910469419.4	A_021174
CN201910472664.0	A_012652
CN201910485795.2	A_035873
CN201910490641.2	A_012652
CN201910490937.4	A_012652
CN201910492732.X	A_035870
CN201910500658.1	A_012652
CN201910504603.8	A_035870
CN201910506056.7	A_002695
CN201910525161.5	A_035870
CN201910533510.8	A_021059
CN201910544753.1	A_021033
CN201910544753.1	A_013765
CN201910544796.X	A_020883
CN201910548402.8	A_035884
CN201910549411.9	A_000947
CN201910555749.5	A_035873
CN201910562330.2	A_035870
CN201910583444.5	A_035885
CN201910584572.1	A_001676
CN201910586434.7	A_012652
CN201910588296.6	A_035886
CN201910593225.5	A_035887
CN201910596435.X	A_001485
CN201910604137.0	A_020860
CN201910634075.8	A_020779
CN201910668701.5	A_012652
CN201910684041.X	A_002872
CN201910711149.3	A_035870
CN201910713243.2	A_008801
CN201910714748.0	A_012652
CN201910721418.4	A_001765
CN201910730909.5	A_012652
CN201910744399.7	A_035888
CN201910753695.3	A_035873
CN201910755840.1	A_012652
CN201910760402.4	A_012652
CN201910762324.1	A_000260
CN201910765864.5	A_000351
CN201910770610.2	A_035870
CN201910777808.3	A_035889
CN201910785975.2	A_012652
CN201910799375.1	A_035890
CN201910807078.7	A_000177
CN201910808162.0	A_035873
CN201910837005.2	A_002312
CN201910839687.0	A_012652
CN201910842925.3	A_035870
CN201910881119.7	A_012652
CN201910883041.2	A_021059
CN201910888545.3	A_035870
CN201910918154.1	A_020800
CN201910961587.5	A_012652
CN201910970176.2	A_008801
CN201911007757.2	A_012656
CN201911009802.8	A_001399
CN201911009802.8	A_000384
CN201911035322.9	A_029594
CN201911044660.9	A_021059
CN201911204044.5	A_000294
CN201911204785.3	A_002872
CN201911214798.9	A_035891
CN201911219608.2	A_002312
CN201911236069.3	A_035892
CN201911262107.2	A_021565
CN201911262107.2	A_013765
CN201911344449.9	A_002872
CN201911345495.0	A_035870
CN201911364588.8	A_008959
CN201911378675.9	A_001485
CN201911414596.9	A_002872
CN2019119186W	A_012652
CN2019119186W	A_005857
CN201920351728.7	A_021170
CN201980000789.1	A_021162
CN201980000944.X	A_021162
CN201980000989.7	A_021162
CN201980001069.7	A_021162
CN201980001118.7	A_021162
CN201980001257.X	A_021162
CN201980001337.5	A_021162
CN201980001446.7	A_021162
CN201980001758.8	A_021162
CN201980003249.9	A_021162
CN201980003561.8	A_021162
CN201980003684.1	A_021162
CN201980003732.7	A_021162
CN201980003883.2	A_021174
CN201980004737.1	A_021174
CN201980004999.8	A_001519
CN201980005998.5	A_021174
CN201980006228.2	A_035877
CN201980007653.3	A_000910
CN201980007674.5	A_000910
CN201980007694.2	A_001519
CN201980007830.8	A_000910
CN201980008543.9	A_021174
CN201980009360.9	A_000910
CN201980009794.9	A_000910
CN201980009878.2	A_000910
CN201980011284.5	A_027100
CN201980012393.9	A_001519
CN201980012727.2	A_000910
CN201980013287.2	A_000910
CN201980013307.6	A_000910
CN201980013348.5	A_000910
CN201980013797.X	A_000910
CN201980014510.5	A_021174
CN201980015212.8	A_000910
CN201980017063.9	A_000910
CN201980018479.2	A_000910
CN201980018859.6	A_021170
CN201980019260.4	A_030103
CN201980021119.8	A_020659
CN201980022055.3	A_000910
CN201980022345.8	A_001519
CN201980022649.4	A_000910
CN201980022822.0	A_000910
CN201980023221.1	A_000910
CN201980023913.6	A_000910
CN201980024827.7	A_000910
CN201980024916.1	A_000910
CN201980026169.5	A_035875
CN201980026244.8	A_000910
CN201980027886.X	A_000910
CN201980027889.3	A_000910
CN201980028934.7	A_035893
CN201980030552.8	A_000910
CN201980030702.5	A_000910
CN201980035591.7	A_000910
CN201980035865.2	A_000910
CN201980036045.5	A_000910
CN201980036139.2	A_000910
CN201980036722.3	A_000375
CN201980039469.7	A_012652
CN201980039705.5	A_000910
CN201980040383.6	A_000260
