PatentID	AssigneeID
EP22949856A	A_022290
KR20257004283A	A_006703
US202218551478A	A_007383
US202318353702A	A_022445
CN202411028724.7	A_000910
US201916537890A	A_014276
KR20180130236A	A_006703
CN202410867613.9	A_000910
US201815945663A	A_007705
US201917260186A	A_006695
JP2021536969A	A_022411
CN201910837005.2	A_002312
JP2021567994A	A_036018
US202117211024A	A_007705
US201916380104A	A_007705
US202117908188A	A_036139
CN201980052576.3	A_021174
CN202010365865.3	A_012652
US201815919448A	A_008098
US202016893196A	A_007705
US202218561532A	A_006083
US202218554807A	A_005496
CN202111002503.9	A_012652
EP23873222A	A_006695
EP20765399A	A_007705
US202117912039A	A_008190
US202117447535A	A_007705
US202017593966A	A_006695
US202218550204A	A_022585
EP20918507A	A_006083
EP22756379A	A_006695
US202218692680A	A_006695
CN201980004999.8	A_001519
US202117910269A	A_006695
US202217660804A	A_006703
US202318837869A	A_007705
US202318468865A	A_024353
CN2023121988W	A_022403
US202017033719A	A_024548
CN202180051089.2	A_000910
IN201947042054	A_007705
JP2020547603A	A_006084
EP20889305A	A_006695
JP2023500508A	A_006084
US202318332283A	A_007705
US201917632967A	A_009903
JP2022570967A	A_006235
US202217951542A	A_022403
KR20230045553A	A_006703
JP2024516057A	A_006083
IL29055522A	A_008252
US202217862888A	A_006703
KR20217020837A	A_020640
US202218721017A	A_006703
KR20237003847A	A_006694
US202217648370A	A_024353
US202318326646A	A_007705
KR20207014048A	A_024093
EP21959000A	A_013124
KR20257003252A	A_006703
US202017312634A	A_006695
CN202510544255.2	A_000910
US202318460349A	A_024353
EP22934133A	A_022290
CN202011115120.8	A_012652
JP2021543649A	A_006293
US202017613693A	A_006695
CN201810875063.X	A_000260
KR20247038436A	A_020640
US201917604052A	A_006234
CN201810804982.8	A_012652
JP2022548945A	A_023187
EP20926716A	A_007705
US202218727894A	A_006703
US202118714388A	A_013124
CN202210142912.7	A_035923
JP2022556734A	A_006084
US202218580055A	A_006695
CN201811189882.5	A_035865
KR20217009734A	A_036065
KR20257004300A	A_006695
EP23873246A	A_006703
CN201980070799.2	A_000910
EP18741858A	A_006703
US202218690663A	A_007705
EP21803103A	A_006695
US202118018454A	A_024450
KR20227038957A	A_005741
CN202080103035.1	A_000910
US202218563592A	A_006695
JP2023501661A	A_025431
US202217716709A	A_006703
US201816650314A	A_007705
US202318728752A	A_006703
US202018014667A	A_006531
US202218682492A	A_007383
JP2023017329A	A_006062
IN201927005861	A_007705
US202217879019A	A_007996
US202217709368A	A_005506
EP20821508A	A_007705
EP19719685A	A_007705
EP19706165A	A_007705
EP22732687A	A_007383
CN202010605477.8	A_012652
EP22882759A	A_005857
EP23916465A	A_035971
CN202411748527.2	A_030103
EP18714406A	A_007705
CN202180063645.8	A_000910
CN201910023940.5	A_012652
US202117797092A	A_006695
JP2023575955A	A_006695
CN202180033400.0	A_000260
JP2022520792A	A_023187
KR20257022321A	A_006703
CA3086686A	A_035864
KR20207037656A	A_024093
CN202180000176.5	A_021162
US202016786592A	A_005857
JP2024525508A	A_006703
EP23849318A	A_035969
US201916446554A	A_006695
JP2023564697A	A_006084
KR20237035427A	A_006703
CN202110362407.9	A_012652
US202117307933A	A_036245
JP2023500508A	A_006083
CN202411028645.6	A_000910
US202218270815A	A_006223
US202117452501A	A_022493
US202018245853A	A_007705
JP2022556811A	A_006083
CN201980064226.9	A_000910
US201917269967A	A_006695
CN202110363659.3	A_012652
