PatentID	KeywordID
US202318305738A	K_771792
EP23903933A	K_734499
CN202080100285.X	K_505046
US202217584128A	K_385937
US201916284339A	K_102096
CN201880053131.2	K_707059
US202117916771A	K_119953
US202218695610A	K_708314
US202318844398A	K_436657
US202117920246A	K_435834
EP23851955A	K_732552
ES20799142T	K_007178
US202016791340A	K_000800
CN201811242130.0	K_707919
US201917422286A	K_085541
CN202380024364.0	K_439490
CN202010074661.4	K_373546
EP21714068A	K_379971
US201815959014A	K_107632
CN202211500042.2	K_721734
CN202211264452.1	K_380095
US202218838375A	K_765139
US202318849262A	K_006535
US202117179305A	K_711110
US202318449271A	K_719923
US202117342318A	K_707661
KR20257018991A	K_723191
US202117307933A	K_031506
BR112020002914A	K_396277
US202017006998A	K_484378
US202017618326A	K_061074
CN202080104174.6	K_707155
EP23204349A	K_304899
EP22177406A	K_223410
CN202080071987.X	K_396277
US202218558972A	K_714725
US202218050042A	K_142790
JP2020086426A	K_489682
US201916522350A	K_358813
EP21762313A	K_108110
US202118723303A	K_032863
US202117304744A	K_315063
US202218146196A	K_738332
EP23840028A	K_441125
EP20765399A	K_373549
US202017920309A	K_740045
US202218847803A	K_715575
CN202510139526.6	K_605747
US202016748227A	K_101160
US202016986925A	K_192621
US202318202486A	K_707115
CN202080007571.1	K_710224
US202318841771A	K_347127
CN202511155933.2	K_706900
US202218848708A	K_711041
EP23852896A	K_715263
EP21850596A	K_309000
US202117443881A	K_710153
CN202010611458.6	K_002044
US202217713816A	K_749011
EP19756067A	K_715836
CN202180001886.X	K_445433
CN202110129420.X	K_001994
CN202080003437.4	K_713543
US201917040396A	K_293410
US202117323744A	K_398942
US201916572963A	K_079428
US202318863436A	K_001881
CN202410290078.5	K_502227
IN201927013872	K_371865
JP2022096605A	K_738382
US202217672136A	K_346766
US201917628726A	K_750201
US201816172905A	K_154058
CN202410023713.3	K_725461
CN202010067264.4	K_614776
JP2023506608A	K_046790
US202318460087A	K_708950
IN202117045502	K_431557
US202217887052A	K_371861
JP2020511178A	K_266599
US202217665841A	K_000064
US202017092101A	K_502491
JP2023572329A	K_431897
US202218573219A	K_001479
CN202280095698.2	K_234155
US202117352541A	K_431881
US202117497717A	K_453809
KR2022016327W	K_020096
CN202080045023.8	K_373519
US202318176648A	K_001884
EP25157879A	K_710127
JP2024507936A	K_164951
US202318859344A	K_711195
US202117305923A	K_511573
CN201980070853.3	K_346133
CN202510728886.X	K_726770
US202217860456A	K_097316
US201816635613A	K_089340
US202016939705A	K_317126
US202017422272A	K_448747
US201816231765A	K_183706
US202217657022A	K_389195
CN202511437085.4	K_164425
US202117644218A	K_405522
CN201910506056.7	K_325786
JP2023503300A	K_449935
US201917754264A	K_750314
US202218553650A	K_757509
US202218689640A	K_615437
US202318537420A	K_314387
US202218721807A	K_714023
CN2023127811W	K_724071
US202318858094A	K_416975
US202117321560A	K_001318
US202118018728A	K_051470
CN202080093966.8	K_715403
US202118265764A	K_762119
US202217665331A	K_000826
CN2021100883W	K_706826
US202217938621A	K_520901
KR20227020189A	K_719313
CN2022110616W	K_080518
US202117365355A	K_711922
US202217945117A	K_709551
